fit	orig
abund.gel.gygi.1	prot.gygi
abund.gel.futcher.1	prot.futcher
abund.ms.washburn.1	prot.washburn
abund.ms.peng.1	prot.peng
abund.wblot.ghaem.1	prot.ghaem
abund.gfp.newman.1	prot.newman
abund.ms.lu.1	prot.lu
abund.ms.degodoy.1	prot.degodoy
abund.ms.thakur.1	prot.thakur.1
abund.ms.thakur.2	prot.thakur.2
abund.ms.thakur.3	prot.thakur.3
abund.ms.lee.1	prot.lee.1
abund.ms.lee.2	prot.lee.2
abund.ms.lee.3	prot.lee.3
abund.ms.nagaraj.1	prot.nagaraj.1
abund.ms.nagaraj.2	prot.nagaraj.2
abund.ms.nagaraj.3	prot.nagaraj.3
abund.ms.nagaraj.4	prot.nagaraj.4
abund.ms.nagaraj.5	prot.nagaraj.5
abund.ms.nagaraj.6	prot.nagaraj.6
expr.comm.causton.acida	mrna.causton.acid.a
expr.comm.causton.acidb	mrna.causton.acid.b
expr.comm.causton.nacl	mrna.causton.nacl
expr.comm.causton.peroxidea	mrna.causton.peroxide.a
expr.comm.causton.peroxideb	mrna.causton.peroxide.b
expr.cust.dudley.3a	mrna.dudley.3a
expr.cust.dudley.3b	mrna.dudley.3b
expr.cust.dudley.3c	mrna.dudley.3c
expr.cust.dudley.3d	mrna.dudley.3d
expr.cust.garcia.1	mrna.garcia
expr.comm.holstege.1	mrna.holstege
expr.rnas.ingolia.1	mrna.ingolia.1
expr.rnas.ingolia.2	mrna.ingolia.2
expr.rnas.ingolia.ca	mrna.ingolia.ca
expr.rnas.ingolia.ca_late	mrna.ingolia.ca.late
expr.rnas.ingolia.rq	mrna.ingolia.rq
expr.rnas.ingolia.rq_late	mrna.ingolia.rq.late
expr.rnas.lipson.rs7	mrna.lipson.rs07
expr.rnas.lipson.rs8	mrna.lipson.rs08
expr.rnas.lipson.rs9	mrna.lipson.rs09
expr.rnas.lipson.rs10	mrna.lipson.rs10
expr.rnas.lipson.rs11	mrna.lipson.rs11
expr.rnas.lipson.rs12	mrna.lipson.rs12
expr.comm.lipson2.ma	mrna.lipson.ma
expr.cust.mackay.1	mrna.mackay
expr.cpcr.miura.1	mrna.miura.1
expr.cpcr.miura.2	mrna.miura.2
expr.cpcr.miura.3	mrna.miura.3
expr.cpcr.miura.4	mrna.miura.4
expr.rnas.nagalakshmi.1	mrna.nagalakshmi
expr.cust.pelechano.1	mrna.pelechano
expr.comm.roth.a	mrna.roth.a
expr.comm.roth.alpha	mrna.roth.alpha
expr.sage.velc.1	mrna.velc
expr.rnas.yassour.ypd01	mrna.yassour.ypd0.1
expr.rnas.yassour.ypd02	mrna.yassour.ypd0.2
expr.rnas.yassour.ypd151	mrna.yassour.ypd15.1
expr.rnas.yassour.ypd152	mrna.yassour.ypd15.2
