# l.intensity = haploid label
# h.intensity = diploid label
orf	ratio.hl.normalized	ratio.hl.count	intensity	intensity.l	intensity.h	experiment
YJR086W	0.016319	20	456620000	395640000	60982000	Lys-C
YDR103W	0.025127	2	787750	733580	54175	Lys-C
YLR452C	0.025521	67	861600000	669740000	191850000	Lys-C
YIL117C	0.043017	9	84945000	79686000	5258600	Lys-C
YIL015W	0.057065	47	663840000	635310000	28534000	Lys-C
YCR021C	16.861	299	2106700000	281350000	1825400000	Trypsin
YKL209C	0.063561	8	42240000	41982000	257390	Lys-C
YFL026W	0.075811	45	1273300000	669670000	603670000	Lys-C
YHR005C	0.077779	39	713850000	671490000	42354000	Lys-C
YPR122W	0.085517	3	13984000	13488000	495760	Lys-C
YJL170C	0.094521	7	134690000	112890000	21797000	Lys-C
YDR210W-B	0.096229	158	4052300000	3724900000	327400000	Lys-C
YPL156C	0.10747	1	10195000	8796900	1398600	Lys-C
YLR256W-A	0.11721	573	78447000000	69802000000	8644700000	Lys-C
YBR072W	0.1217	140	4564300000	3886200000	678180000	Lys-C
YGR044C	0.13151	6	95378000	85999000	9379300	Lys-C
YGL032C	0.13827	3	135840000	134860000	982770	Lys-C
YLR327C	0.14293	2	9354000	5626300	3727800	Lys-C
YBR083W	0.14333	7	35446000	32242000	3203700	Lys-C
YJL157C	0.1464	9	140890000	89796000	51098000	Lys-C
YGR014W	0.14644	11	219140000	189690000	29447000	Lys-C
YBL016W	0.14882	12	427220000	415680000	11538000	Lys-C
YIL067C	0.15196	2	115680000	111900000	3780800	Lys-C
YDR085C	0.15315	3	3120900	2222900	897950	Lys-C
YCL019W	6.4913	19	40066000	9562400	30504000	Trypsin
YDR306C	0.15517	3	69297000	58386000	10911000	Lys-C
YMR011W	0.16851	14	209420000	189470000	19952000	Lys-C
YFR018C	5.8341	10	7727900	1628700	6099200	Trypsin
YOR212W	0.19118	13	305850000	291900000	13956000	Lys-C
YBR073W	0.19773	42	612260000	303260000	308990000	Lys-C
YKR042W	0.20162	76	3626200000	2986200000	640010000	Lys-C
YDR410C	4.8805	4	2247000	485510	1761500	Trypsin
YGR279C	0.2091	111	4569900000	3908400000	661470000	Lys-C
YAR073W	0.21067	1	252820	221800	31023	Lys-C
YEL009C	4.3157	1	589770	139900	449860	Trypsin
YGR032W	0.25425	42	689490000	436440000	253050000	Lys-C
YIR039C	3.8736	4	1987700	659550	1328100	Trypsin
YIL055C	0.26028	2	6301300	5355200	946150	Lys-C
YMR251W-A	0.27051	11	85654000	68040000	17614000	Lys-C
YLR079W	0.27192	7	57677000	45733000	11944000	Lys-C
YNR070W	3.6188	2	7112000	2050400	5061600	Trypsin
YNL261W	0.27903	4	109030000	98832000	10198000	Lys-C
YIL123W	0.28516	10	112940000	86481000	26463000	Lys-C
YLR303W	0.28524	401	50205000000	40373000000	9831300000	Lys-C
YMR305C	0.29003	87	3352700000	2461400000	891350000	Lys-C
YMR122W-A	0.29153	4	551590	445620	105970	Lys-C
YDR463W	0.29363	2	10059000	7124500	2934800	Lys-C
YLR332W	0.29712	1	1589900	1241000	348940	Lys-C
YOR052C	0.29858	4	10164000	7990700	2173800	Lys-C
YDR003W	0.29996	1	765550	544570	220980	Lys-C
