# Futcher et al. 1999
# B. FUTCHER, G. I. LATTER, P. MONARDO, C. S. MCLAUGHLIN, AND J. I. GARRELS, MOLECULAR AND CELLULAR BIOLOGY, 0270-7306/99
# A Sampling of the Yeast Proteome
# Nov. 1999, p. 7357–7368
orf	gene	mrna	adjusted.mrna	twod.gel.glu	twod.gel.eth	e.g.ratio
YOL086C	ADH1	197	197	1230	972	0.79
YMR303C	ADH2	0	0	963	0	NA
YCR005C	CIT2	1	3	23	288	12
YGR254W	ENO1	No	Nla	410	974	2.4
YHR174W	ENO2	248	248	650	215	0.33
YKL060C	FBA1	179	179	640	608	0.95
YGL253W	HXK2	6.5	5.5	31	23	NA
YFR053C	HXK1	6.5	5.5	31	23	NA
#NA	HXK1,2	13	11	62	46	NA
YER065C	ICL1	0	0	671	0	NA
YBR221C	PDB1	5	5	41	33	NA
YLR044C	PDC1	226	226	280	205	0.73
YGR240C	PFK1	5	5	75	53	0.71
YBR196C	PGI1	14	14	160	120	0.75
YGL062W	PYC1	1	1	37	34	NA
YLR354C	TAL1	5	5	110	35	NA
YJR009C	TDH2	63	63	430	876	NA
YGR192C	TDH3	460	460	1670	1927	NA
YDR050C	TPI1	NA	NA	NA	NA	NA
YAL003W	EFB1	33	17	358	362	NA
YDR385W	EFT2	13	13	49.5	27	0.275
YOR133W	EFT1	13	13	49.5	27	0.275
#NA	EFT1,2	26	26	99	54	0.55
YOR361C	PRT1	4	1	12	6	NA
YLR340W	RPA0	246	246	277	100	0.36
YKR059W	TIF1	14.5	14.5	116.5	53	0.23
YJL138C	TIF2	14.5	14.5	116.5	53	0.23
#NA	TIF1,2	29	29	233	106	0.46
YLR249W	YEF3	36	36	14	NA	NA
YMR186W	HSC82	2	3	112	75	0.67
YLR259C	HSP60	9	2	35	82	2.3
YPL240C	HSP82	2	1	52	135	2.6
YLL026W	HSP104	7	7	70	161	2.3
YJL034W	KAR2	5	10	43	102	2.4
YAL005C	SSA1	2	4	303	421	1.4
YLL024C	SSA2	10	5	213	324	1.5
YDL229W	SSB1	25	25	135	42.5	NA
YNL209W	SSB2	25	25	135	42.5	NA
#NA	SSB1,2	50	50	270	85	NA
YJR045C	SSC1	2	3	68	80	1.2
YPL106C	SSE1	8	8	96	48	NA
YOR027W	STI1	1	1	25	44	1.7
YAR015W	ADE1	4	4	14	27	NA
YGR204W	ADE3	2	2	12	9	NA
YGL234W	ADE5,7	2	1	14	4	NA
YHR018C	ARG4	1	8	41	41	NA
YOR375C	GDH1	10	27	148	55	NA
YPR035W	GLN1	11	11	77	104	1.3
YCL030C	HIS4	3	3	15	23	1.5
YLR355C	ILV5	6	6	152	109	0.7
YNR050C	LYS9	4	4	32	17	0.52
YER091C	MET6	NA	22	190	80	0.42
YOR323C	PRO2	3	3	30	12	NA
YOR184W	SER1	2	1	15	8	NA
YGL026C	TRP5	5	5	28	12	NA
YFL039C	ACT1	54	54	205	164	0.78
YDR226W	ADK1	NA	NA	47	43	NA
YPL061W	ALD6	3	3	181	159	NA
YJR121W	ATP2	1	4	76	109	1.4
YER177W	BMH1	46	46	191	137	0.72
YDR099W	BMH2	1	1	134	147	NA
YDL126C	CDC48	2	2	32	26	NA
YPL160W	CDC60	2	1	6	2	NA
YJL167W	ERG20	5	5	92	39	NA
YIL053W	GPP1	16	5	234	158	NA
YLR293C	GSP1	3	3	115	39	0.34
YBR011C	IPP1	4	4	254	147	0.58
YMR296C	LCB1	0	1	19	40	NA
YGR144W	MOL1	0	0	20	16	NA
YER165W	PAB1	3	3	41	19	0.47
YDL055C	PSA1	15	15	148	56	NA
YGR180C	RNR4	6	6	44	37	NA
YLR180W	SAM1	5	5	59	21	NA
YDR502C	SAM2	3	15	63	20	NA
YJR104C	SOD1	36	36	631	618	NA
YKL210W	UBA1	2	2	14	20	NA
YKL056	YKL056	62	62	253	112	0.44
YLR109	YLR109	21	21	930	NA	NA
YMR116	YMR116	41	41	184	40	0.2
