Threshold +/-1.5 for log2(TE change) was used in the manuscript. Refer to the fig. S2b if you like to select a different threshold.
gene_name 5 min	5 min log2(TE change)	gene_name 30 min	30 min log2(TE change)
YBR008C	7.334949167	YBR008C	8.166184527
YOL052C-A	4.722922161	YCR021C	5.236924926
YKL086W	4.135994811	YKL086W	5.043937609
YCR021C	3.86975151	YAL034C	4.491228608
YKL071W	3.757068255	YKL071W	4.086230712
YHR048W	3.481549439	YLL056C	3.944799489
YIL164C	3.024333626	YCL026C-A	3.851985768
YEL009C	2.877303632	YHR048W	3.843482354
YMR090W	2.698183769	YEL045C	3.823288945
YCL026C-A	2.553375363	YLL055W	3.723035146
YKL044W	2.5293526	YOR120W	3.617302704
YLR164W	2.505342986	YOL052C-A	3.250777993
YHR050W-A	2.504192754	YLR164W	3.19237092
YNL179C	2.443818504	YDR034W-B	3.039123321
YJR120W	2.160087648	YPL171C	2.895100508
YPL171C	2.122675301	YNL179C	2.779279301
YKL068W-A	2.100511791	YKL044W	2.745883127
YPR200C	2.042652955	YHR050W-A	2.713630856
YGR025W	1.839805847	YEL009C	2.697193735
YLL055W	1.833824676	YPR200C	2.489937743
YDR132C	1.827671988	YIL164C	2.461264386
YEL045C	1.785926168	YDR276C	2.309424502
YPL096C-A	1.772505509	YDR132C	2.303794121
YLL060C	1.769286866	YMR090W	2.301207725
YDR276C	1.768587023	YKL026C	2.297778611
YJR048W	1.704289849	YJR120W	2.284631647
YPL179W	1.643546544	YLL060C	2.271000798
YOR028C	1.584321795	YGR025W	2.150934843
YGR174C	1.583397689	YKL068W-A	2.086951252
YOR304C-A	1.582851582	YPL096C-A	2.024939182
YNL198C	1.565939822	YNL146C-A	2.018822759
YCR020W-B	1.536559759	YOR028C	1.991790452
YPL052W	1.464521056	YCL026C-B	1.980413935
YKL023C-A	1.464096416	YGR201C	1.971756976
YDL045W-A	1.430124633	YKL023C-A	1.969029834
YHR001W-A	1.409099581	YJR048W	1.956689335
YEL068C	1.366865436	YJL127C-B	1.924158267
YBR262C	1.340757398	YPR127W	1.851173786
YMR052W	1.323771889	YER103W	1.814917622
YDL130W	1.320633975	YOR152C	1.80435666
YNR004W	1.308281405	YML128C	1.786915523
YNL111C	1.301837913	YML091C	1.783850779
YDR453C	1.280645874	YJL179W	1.756132201
YCR018C	1.27714886	YDR524C-B	1.7407319
YDR524C-B	1.273272402	YLR177W	1.724278619
YLL018C-A	1.261155325	YIL134W	1.7177583
YLR346C	1.24268307	YIL102C-A	1.698918305
YDR533C	1.219779703	YCL004W	1.686988809
YDL107W	1.210393365	YIL120W	1.670245602
YKL061W	1.206027087	YDL123W	1.663219403
YMR251W-A	1.177179752	YBR293W	1.657155769
YGR201C	1.170654298	YER126C	1.646700407
YCL036W	1.165385192	YNL198C	1.643267425
YOR026W	1.154093494	YCR018C	1.638946544
YGL029W	1.15202972	YHR143W-A	1.638440163
YLR408C	1.147345896	YMR052W	1.622243479
YNL141W	1.146384642	YMR271C	1.618193826
YGR271C-A	1.135448616	YML116W	1.580146514
YCL058W-A	1.129707689	YOR305W	1.554584865
YPR166C	1.128482719	YOR304C-A	1.514003923
YHR199C-A	1.126442757	YDR197W	1.513233399
YCL026C-B	1.120293618	YLL018C-A	1.501892965
YPL157W	1.109300287	YGL136C	1.498543508
YNL260C	1.108631312	YHR199C-A	1.496788836
