#gene ID (SGD database)	Initial_Footprint_1_rpkm	5min_Footprint_1_rpkm	30min_Footprint_1_rpkm	Initial_Footprint_2_rpkm	5min_Footprint_2_rpkm	30min_Footprint_2_rpkm	Initial_mRNA_1_rpkm	5min_mRNA_1_rpkm	30min_mRNA_1_rpkm	5min_mRNA_2_rpkm	30min_mRNA_2_rpkm
orf	rdens.init.rpkm1	rdens.5min.rpkm1	rdens.30min.rpkm1	rdens.init.rpkm2	rdens.5min.rpkm2	rdens.30min.rpkm2	mrna.init.rpkm1	mrna.5min.rpkm1	mrna.30min.rpkm1	mrna.5min.rpkm2	mrna.30min.rpkm2
YAL001C	12.04482262	8.525418905	19.28830109	10.38562121	9.217210104	18.55112302	15.58832347	12.47878345	37.21908909	14.99652032	35.33016722
YAL002W	5.114044495	5.037142849	11.25391235	4.499994127	3.98461985	9.885425855	8.232395316	10.39378975	31.18367512	11.71420556	31.76654033
YAL003W	2897.275478	1680.868676	291.9941677	2750.787797	1346.843723	258.7891894	3080.331979	2256.681129	418.4599792	2582.416046	401.9376436
YAL007C	222.5661454	164.3206696	176.8796514	190.7361669	118.8945887	129.5989947	203.9208181	199.4981026	262.1620607	240.0574868	170.4571663
YAL008W	59.72103001	80.94688957	205.3352063	43.44321735	57.36933757	220.6734087	46.93204849	58.74323038	278.1496867	64.42819591	171.2699894
YAL009W	12.32170166	9.639536149	13.66862092	10.7997079	4.837341697	11.21029552	50.7070176	53.30949854	80.17369164	48.63140273	59.7320261
YAL010C	9.380144783	10.67184537	23.8824423	9.253818657	10.81805924	15.3151512	7.827421917	15.72995929	23.2727536	15.81623468	25.71675509
YAL011W	7.402121646	5.529992616	7.361305912	6.90988599	6.103654975	8.047860946	15.48181479	12.90400927	21.91066493	19.18891695	19.37715373
YAL012W	526.4680324	682.1459956	856.4760698	563.3137456	611.0735263	693.6054931	173.184995	198.5073697	256.9924863	247.9922771	294.9974501
YAL013W	18.58879991	15.99267842	25.77002881	14.1752606	13.42315784	25.94987283	14.74101564	20.96069348	31.42417123	21.22186582	29.44569715
YAL014C	27.8077043	36.92028928	68.7189374	23.45576785	20.50421267	47.77179201	61.23302525	63.28305799	102.8581686	64.11503906	91.3626997
YAL015C	9.126090529	14.45054101	31.21213104	7.899387836	10.2211372	27.952294	21.90718769	28.83559239	79.69755733	28.96318131	59.48545141
YAL016W	129.9343911	121.2272971	246.5511134	117.0699333	114.7460715	201.132166	78.07449034	97.90253279	273.6572998	95.95858534	240.6167316
YAL017W	14.96896215	9.058153901	51.44620549	13.73085121	9.668652468	46.09705152	7.722405578	7.65547979	46.99617041	8.530829378	59.93647534
YAL018C	0.045014168	0.186642499	0.216044401	0.028644652	0.230315197	0	0	0	0	0	0.118014556
YAL019W	24.68953353	13.54828617	6.618326209	22.383962	12.45858009	4.591152199	18.71037375	19.49069168	8.461518195	20.99625977	8.613773578
YAL020C	8.018410634	3.906042641	5.677991767	6.287501172	2.854648775	6.090544432	22.05816836	23.65553824	49.32501262	28.16734212	27.16781426
YAL021C	41.63445035	37.70959388	45.96805542	33.82331824	33.18342688	35.97691294	9.76250625	12.09419449	15.79754813	19.11175703	20.45293938
YAL022C	29.11178301	18.65256874	24.65669878	27.57160074	14.31557319	20.20959579	34.80772545	36.68723434	43.11012988	42.04812665	39.30168786
YAL023C	147.8465562	105.8779235	58.55933045	149.5733077	99.35211603	51.39043234	84.7996782	103.376534	102.9236373	118.0995497	96.84366477
YAL024C	4.724283975	4.244786237	4.102071189	4.781369713	4.936882146	3.366716121	5.061061643	3.993818469	3.632839286	6.401954574	5.257172653
YAL025C	82.31835713	64.47100243	2.541482127	64.80491464	62.33168954	1.314080962	159.1708017	101.6520796	6.273391769	129.5816456	6.247296722
YAL026C	25.25930092	22.85867323	26.8181447	25.13732827	24.02682808	20.74951827	16.18671597	16.56568451	25.93233587	16.58671368	29.08999317
YAL027W	12.79006053	14.57171864	34.01093157	10.13699169	12.24305451	24.76975569	20.41515355	24.08046139	37.53975687	25.86666376	31.87046731
YAL028W	1.355510696	1.542844387	9.694829053	2.122613039	1.450557224	8.544049488	5.488510568	10.02902725	35.66827465	10.14314165	30.86902053
YAL029C	18.36932651	10.66915296	9.668938028	16.29272778	11.16658722	9.465881033	20.24118338	22.92472292	24.17147881	24.68671107	30.1895507
YAL030W	99.58409902	93.22645886	211.3441596	105.7983465	81.20514879	224.5576756	107.9924484	134.5888167	327.4581231	141.3084546	275.3595531
YAL031C	5.920218805	4.316374982	16.07516816	6.624485889	4.032601412	13.03804062	6.149925133	10.50999931	31.44959439	10.82569375	25.96352663
YAL032C	10.33663797	9.217806442	18.78630709	10.13254997	8.451622852	14.059037	14.11623933	11.36135978	22.91783725	14.34763242	22.86543366
YAL033W	34.37141048	40.77386736	27.86870384	39.72151214	28.78314147	23.2107048	73.69740315	54.77583756	35.83557228	45.87125723	30.07833068
YAL034C	0.311472814	2.726418718	50.82681013	1.134172716	1.369360315	65.91848411	15.51953587	13.8624314	53.92844784	19.14013689	57.5245521
YAL034W-A	12.62664944	13.51412893	15.7661909	10.79490461	11.082528	14.3245828	18.94065469	16.23910912	27.68066947	19.79761761	18.4357128
YAL035W	216.9590351	185.7010744	71.98846015	213.1439122	204.3902197	65.60492917	90.24320179	85.19948642	92.70765618	114.261717	102.8509633
YAL036C	135.7458831	155.597384	21.78583185	119.8982897	118.9675136	14.32202735	182.4591977	141.1809768	33.03799112	159.0778867	25.80160412
YAL037W	0.898237257	2.09495601	1.616650434	0.821662085	0.651076635	1.673621019	4.184426507	2.11834709	6.459860604	7.217881419	4.047530468
YAL038W	10684.97457	9111.429729	3224.273129	10354.42543	8808.357622	3658.096652	3782.606174	4067.412244	4152.05173	4584.339281	3990.833884
YAL039C	23.8804598	33.1206316	79.88226519	19.39384164	23.9052469	64.41972636	30.2677704	21.56996023	60.88865318	28.05953419	60.12692021
