#rpkm values of gene expression		
#data file name	unstressed_noCHX	unstressed_1/64x_CHX	unstressed_1/16x_CHX	unstressed_1/4x_CHX	unstressed_1x_CHX	unstressed_8x_CHX	unstressed_100x_CHX_rep1	unstressed_100x_CHX_rep2	oxidative_noCHX	oxidative_1/64x_CHX	oxidative_1/16x_CHX	oxidative_1/4x_CHX	oxidative_1x_CHX	oxidative_8x_CHX	oxidative_100x_CHX_rep1	oxidative_100x_CHX_rep2	heatshock_noCHX	heatshock_1x_CHX	complete_SD_media	SD_no_aminoacids	SD_no_aminoacids_plus_His_Met_Leu	edeine_noCHX	aurin_noCHX 
#gene id/sample#	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23
orf	unstressed_noCHX	unstressed_1/64x_CHX	unstressed_1/16x_CHX	unstressed_1/4x_CHX	unstressed_1x_CHX	unstressed_8x_CHX	unstressed_100x_CHX_rep1	unstressed_100x_CHX_rep2	oxidative_noCHX	oxidative_1/64x_CHX	oxidative_1/16x_CHX	oxidative_1/4x_CHX	oxidative_1x_CHX	oxidative_8x_CHX	oxidative_100x_CHX_rep1	oxidative_100x_CHX_rep2	heatshock_noCHX	heatshock_1x_CHX	complete_SD_media	SD_no_aminoacids	SD_no_aminoacids_plus_His_Met_Leu	edeine_noCHX	aurin_noCHX
YAL001C	6.881	5.916	11.419	12.57	7.962	9.032	7.664	7.401	17.607	24.093	20.063	21.507	15.318	14.256	14.39	14.072	11.529	8.184	7.936	30.669	23.013	8.282	8.022
YAL002W	3.465	2.115	4.345	4.342	4.037	3.601	2.666	2.801	10.291	16.666	10.926	10.756	9.357	7.127	7.173	7.371	3.291	3.018	4.507	13.84	10.377	2.951	3.907
YAL003W	4823.961	4707.127	3361.544	2854.232	3425.885	3516.66	3976.168	4235.749	784.846	766.042	460.299	437.165	548.559	523.39	1025.295	870.091	3439.934	1606.208	4206.319	141.502	686.765	5505.24	4595.01
YAL007C	158.149	152.773	141.038	155.031	142.025	153.298	134.909	129.312	186.143	141.798	133.404	147.043	118.474	123.147	145.323	125.022	99.897	59.052	161.067	152.048	181.657	161.916	159.353
YAL008W	31.744	46.571	36.552	47.546	28.931	35.273	31.344	32.684	164.498	181.166	182.411	191.611	130.288	189.673	158.418	145.471	123.343	124.054	56.159	135.168	197.812	32.388	42.622
YAL009W	8.701	10.863	16.272	11.17	7.76	6.748	7.923	6.684	16.067	28.417	25.53	21.545	10.301	13.416	11.389	12.911	7.128	6.512	9.693	10.722	12.719	9.815	8.688
YAL010C	6.409	6.771	8.962	9.669	7.35	6.3	5.307	5.446	18.538	18.742	19.261	17.957	15.33	12.356	13.215	11.21	11.347	9.859	6.036	43.334	14.815	7.386	7.925
YAL011W	5.122	10.525	8.36	7.595	5.713	5.823	6.535	7.711	9.271	14.568	9.113	7.315	6.054	7.894	8.566	8.956	5.452	2.491	4.402	7.615	7.147	7.729	4.539
YAL012W	836.867	579.161	500.615	518.294	672.462	612.142	587.101	648.996	1652.596	660.855	669.339	736.882	1031.097	903.752	1042.802	790.34	884.279	469.981	842.165	3542.164	420.029	840.22	764.603
YAL013W	18.538	32.596	29.396	23.653	23.952	16.628	22.642	24.127	42.124	53.323	57.108	45.063	38.816	37.347	33.422	39.417	28.308	20.414	23.031	119.245	64.886	23.88	26.552
YAL014C	15.835	24.329	28.431	27.584	18.563	20.431	17.587	19.075	45.543	65.241	72.19	51.026	42.713	47.974	38.161	47.803	36.708	27.536	19.273	62.367	33.821	15.869	18.552
YAL015C	6.193	9.402	10.659	12.787	9.234	8.236	5.134	6.571	28.685	24.668	32.967	35.88	28.268	19.457	13.905	25.43	18.144	11.767	8.708	35.98	24.871	3.569	9.039
YAL016W	100.332	111.949	102.212	117.707	96.747	108.221	101.634	98.872	282.097	241.499	222.763	221.188	199.013	223.823	212.025	201.894	146.505	87.985	129.88	335.848	280.863	120.736	99.867
YAL017W	8.361	8.557	12.185	13.814	9.468	10.755	6.832	6.699	45.493	48.869	64.022	56.095	42.38	38.966	29.789	28.914	31.736	29.08	11.153	60.719	56.138	8.206	10.306
YAL018C	0.041	0	0.188	0	0.3	0	0	0	0	0	0.439	0.17	0	0	0.074	0	2.273	1.164	0.117	1.779	0	0	0.164
YAL019W	25.631	33.319	25.453	23.898	24.174	23.203	24.971	26.609	10.888	17.339	10.241	7.393	8.449	8.197	15.86	15.511	5.45	1.55	23.78	8.058	8.461	27.159	17.226
YAL020C	8.388	11.465	8.056	8.265	9.945	6.261	6.261	6.774	10.86	23.702	14.542	11.105	11.933	8.039	9.73	9.351	6.954	1.888	8.792	2.887	8.219	5.223	11.023
YAL021C	46.863	30.601	45.289	45.973	49.127	42.403	42.913	51.518	69.881	63.527	62.725	59.453	63.556	50.727	60.044	53.304	36.024	22.859	44.798	142.596	63.685	47.653	43.816
