# Downloaded from http://www.nature.com/nature/journal/v425/n6959/suppinfo/nature02046.html
# Ghaemmaghami et al. Nature 2003
#ORF	Observed Expression	Protein Molecules/Cell	Standard Deviation	CEC	Spurious
orf	method	abund	sd.abund	cec	spurious
YAL001C	Both	125	NA	0.74	0
YAL002W	Both	736	NA	0.73	0
YAL003W	None	NA	NA	0.69	0
YAL004W	None	NA	NA	0.2	0
YAL005C	Both	268717	NA	0.73	0
YAL007C	Both	26272	NA	0.73	0
YAL008W	Both	1923	NA	0.31	0
YAL009W	Both	861	NA	0.4	0
YAL010C	Both	768	NA	0.49	0
YAL011W	Both	1377	NA	0.76	0
YAL012W	Both	38301	NA	0.61	0
YAL013W	None	NA	NA	0.35	0
YAL014C	GFP	NA	NA	0.37	0
YAL015C	Both	NA	NA	0.57	0
YAL016W	Both	16919	NA	0.75	0
YAL017W	Both	967	NA	0.81	0
YAL018C	None	NA	NA	0.46	0
YAL019W	Both	6797	NA	0.85	0
YAL020C	None	NA	NA	0.03	0
YAL021C	Both	2779	NA	0.51	0
YAL022C	TAP	217	NA	0.32	0
YAL023C	Both	6512	NA	0.56	0
YAL024C	Both	304	NA	0.7	0
YAL025C	None	NA	NA	0.72	0
YAL026C	Both	606	NA	0.89	0
YAL027W	Both	1169	NA	0.58	0
YAL028W	None	NA	NA	0.53	0
YAL029C	Both	2205	NA	0.87	0
YAL030W	None	NA	NA	0.49	0
YAL031C	Both	227	NA	0.55	0
YAL032C	Both	1675	2.01E+02	0.73	0
YAL033W	Both	2229	NA	0.25	0
YAL034C	None	NA	NA	0.37	0
YAL034W-A	Both	2607	NA	0.55	0
YAL035C-A	None	NA	NA	NA	0
YAL035W	Both	13406	NA	0.87	0
YAL036C	Both	11733	NA	0.63	0
YAL037W	None	NA	NA	0.35	0
YAL038W	Both	290834	2.41E+04	0.61	0
YAL039C	Both	3870	NA	0.33	0
YAL040C	None	NA	NA	0.47	0
YAL041W	Both	1011	NA	0.63	0
YAL042W	None	NA	NA	0.36	0
YAL043C	Both	3731	NA	0.52	0
YAL043C-A	None	NA	NA	NA	0
YAL044C	Both	3508	NA	0.51	0
YAL044W-A	TAP	238	NA	0.37	0
YAL045C	None	NA	NA	0.02	1
YAL046C	TAP	259	NA	0.24	0
YAL047C	Both	639	NA	0.66	0
YAL048C	None	NA	NA	0.72	0
YAL049C	Both	1797	NA	0.61	0
YAL051W	TAP	92	NA	0.78	0
YAL053W	Both	414	NA	0.54	0
YAL054C	Both	2892	NA	0.75	0
YAL055W	Both	259	NA	0.45	0
YAL056W	Both	NA	NA	0.68	0
YAL058C-A	None	NA	NA	NA	0
YAL058W	Both	4760	NA	0.54	0
YAL059W	Both	2836	NA	0.75	0
YAL060W	Both	8733	NA	0.67	0
YAL061W	Both	3088	NA	0.55	0
YAL062W	None	NA	NA	0.57	0
YAL063C	None	NA	NA	0.33	0
YAL064C-A	None	NA	NA	0.43	0
YAL064W	None	NA	NA	0.04	1
YAL064W-B	None	NA	NA	0.11	1
YAL065C	None	NA	NA	0.26	0
YAL066W	None	NA	NA	0	1
YAL067C	None	NA	NA	0.64	0
YAL068C	None	NA	NA	0.47	0
YAL069W	None	NA	NA	-0.18	1
YAR002C-A	Both	20675	NA	0.68	0
YAR002W	Both	4590	NA	0.69	0
YAR003W	Both	907	NA	0.61	0
YAR007C	Both	4100	4.86E+02	0.85	0
YAR008W	None	NA	NA	0.64	0
YAR009C	Both	2217	NA	0.7	0
YAR014C	Both	538	NA	0.66	0
YAR015W	Both	4277	NA	0.77	0
YAR018C	None	NA	NA	0.62	0
YAR019C	Both	238	NA	0.63	0
YAR020C	None	NA	NA	0.48	0
YAR023C	None	NA	NA	0.32	0
YAR027W	Both	1695	NA	0.51	0
YAR028W	Both	1835	NA	0.41	0
YAR029W	None	NA	NA	0.32	0
YAR030C	None	NA	NA	-0.09	1
YAR031W	TAP	259	NA	0.44	0
YAR033W	None	NA	NA	0.41	0
YAR035W	None	NA	NA	0.04	0
YAR042W	None	NA	NA	0.27	0
YAR044W	Both	846	NA	0.84	0
YAR047C	None	NA	NA	0.08	1
YAR050W	None	NA	NA	0.33	0
YAR053W	None	NA	NA	0.03	1
YAR060C	None	NA	NA	0.19	1
YAR061W	None	NA	NA	-0.02	1
YAR062W	TAP	NA	NA	0.49	0
YAR064W	TAP	1525	NA	-0.1	0
YAR066W	None	NA	NA	0.54	0
YAR068W	None	NA	NA	-0.03	1
YAR069C	None	NA	NA	0.15	1
YAR070C	None	NA	NA	-0.02	1
YAR071W	Both	1458	NA	0.66	0
YAR073W	None	NA	NA	0.72	0
YAR075W	None	NA	NA	0.56	0
YBL001C	Both	1898	NA	0.5	0
YBL002W	Both	443201	NA	0.59	0
YBL003C	Both	32073	NA	0.58	0
YBL004W	GFP	NA	NA	0.79	0
YBL005W	Both	166	NA	0.73	0
YBL006C	None	NA	NA	0.13	1
YBL007C	Both	952	NA	0.78	0
YBL008W	Both	846	NA	0.77	0
YBL009W	None	NA	NA	0.6	0
YBL010C	Both	1323	NA	0.65	0
YBL011W	Both	1055	NA	0.73	0
YBL012C	None	NA	NA	-0.08	1
YBL013W	Both	1069	NA	0.17	0
YBL014C	Both	237	3.63E+01	0.67	0
YBL015W	Both	4889	NA	0.71	0
YBL016W	Both	8476	NA	0.41	0
YBL017C	Both	7206	NA	0.83	0
YBL018C	Both	4867	NA	0.59	0
YBL019W	Both	414	NA	0.65	0
YBL020W	None	NA	NA	0.44	0
YBL021C	Both	2514	NA	0.32	0
YBL022C	Both	14539	NA	0.92	0
YBL023C	Both	1687	2.61E+02	0.78	0
YBL024W	Both	16134	NA	0.84	0
YBL025W	Both	NA	NA	0.46	0
YBL026W	Both	2205	NA	0.51	0
YBL027W	Both	225359	NA	0.53	0
YBL028C	Both	6209	NA	0.6	0
YBL029C-A	Both	996	NA	0.08	0
YBL029W	Both	NA	NA	0.43	0
YBL030C	None	NA	NA	0.59	0
YBL031W	Both	264	NA	0.41	0
YBL032W	Both	15576	NA	0.6	0
YBL033C	Both	9517	NA	0.49	0
YBL034C	Both	521	NA	0.74	0
YBL035C	Both	11222	1.70E+03	0.78	0
