orf	norm	dens	count	len	total
15S_rRNA	1294.977	2199.044	3679	1673	1698134
21S_rRNA	3177.296	5395.474	24080	4463	1698134
HRA1	0.000	0.000	0	588	1698134
LSR1	14.243	24.187	29	1199	1698134
NME1	2431.564	4129.121	1503	364	1698134
Q0045_3_utr	0.000	0.000	0	95	1698134
Q0080	0.000	0.000	0	149	1698134
Q0085	0.000	0.000	0	782	1698134
Q0085_3_utr	0.000	0.000	0	214	1698134
Q0130	2.527	4.292	1	233	1698134
Q0130_3_utr	0.000	0.000	0	47	1698134
Q0130_5_utr	0.000	0.000	0	32	1698134
Q0250	0.000	0.000	0	758	1698134
Q0275	0.000	0.000	0	812	1698134
Q0275_3_utr	11.547	19.608	1	51	1698134
Q0275_5_utr	0.000	0.000	0	50	1698134
R0020C	92.209	156.584	176	1124	1698134
R0030W	31.163	52.920	29	548	1698134
R0040C	147.056	249.720	223	893	1698134
RNA170	0.000	0.000	0	193	1698134
RPR1	1318.615	2239.186	880	393	1698134
SCR1	238.357	404.762	221	546	1698134
TLC1	4.000	6.792	9	1325	1698134
YAL001C	7.306	12.406	43	3466	1698134
YAL001C_3_utr	0.000	0.000	0	50	1698134
YAL001C_intron	0.000	0.000	0	82	1698134
YAL002W	5.232	8.884	34	3827	1698134
YAL003W	4703.254	7986.755	4824	604	1698134
YAL003W_3_utr	3.004	5.102	1	196	1698134
YAL005C_3_utr	15.634	26.549	3	113	1698134
YAL005C_5_utr	134.952	229.167	11	48	1698134
YAL007C	116.870	198.462	129	650	1698134
YAL007C_3_utr	0.000	0.000	0	112	1698134
YAL007C_5_utr	33.974	57.692	3	52	1698134
YAL008W	44.240	75.125	45	599	1698134
YAL008W_3_utr	0.000	0.000	0	120	1698134
YAL008W_5_utr	0.000	0.000	0	55	1698134
YAL009W	5.271	8.951	7	782	1698134
YAL009W_3_utr	0.000	0.000	0	101	1698134
YAL009W_5_utr	0.000	0.000	0	10	1698134
YAL010C	11.508	19.542	29	1484	1698134
YAL010C_3_utr	0.000	0.000	0	85	1698134
YAL011W	6.265	10.638	20	1880	1698134
YAL011W_3_utr	0.000	0.000	0	85	1698134
YAL012W	673.220	1143.218	1357	1187	1698134
YAL012W_3_utr	0.000	0.000	0	87	1698134
YAL012W_5_utr	23.555	40.000	2	50	1698134
YAL013W	18.155	30.830	39	1265	1698134
YAL013W_3_utr	0.000	0.000	0	28	1698134
YAL013W_5_utr	0.000	0.000	0	17	1698134
YAL014C	25.238	42.857	33	770	1698134
YAL014C_3_utr	0.000	0.000	0	124	1698134
YAL014C_5_utr	63.094	107.143	3	28	1698134
YAL015C	7.839	13.311	16	1202	1698134
YAL015C_3_utr	0.000	0.000	0	101	1698134
YAL016W	119.318	202.618	387	1910	1698134
YAL016W_3_utr	0.000	0.000	0	56	1698134
YAL017W	9.109	15.468	63	4073	1698134
YAL017W_3_utr	0.000	0.000	0	175	1698134
YAL017W_5_utr	8.365	14.205	5	352	1698134
YAL018C	0.000	0.000	0	980	1698134
YAL019W	29.115	49.441	168	3398	1698134
YAL019W_3_utr	0.000	0.000	0	48	1698134
