# Downloaded from http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM346117, 2/14/2009
orf	norm	dens	count	len	total
15S_rRNA	465.598	1649.133	2759	1673	3541965
21S_rRNA	235.580	834.416	3724	4463	3541965
HRA1	0.480	1.701	1	588	3541965
LSR1	835.449	2959.133	3548	1199	3541965
NME1	117.120	414.835	151	364	3541965
Q0045_3primeutr	5.944	21.053	2	95	3541965
Q0080	24.633	87.248	13	149	3541965
Q0085	9.748	34.527	27	782	3541965
Q0085_3primeutr	3.958	14.019	3	214	3541965
Q0130	267.789	948.498	221	233	3541965
Q0130_3primeutr	192.224	680.851	32	47	3541965
Q0130_5primeutr	308.798	1093.750	35	32	3541965
Q0250	33.149	117.414	89	758	3541965
Q0275	12.169	43.103	35	812	3541965
Q0275_3primeutr	5.536	19.608	1	51	3541965
Q0275_5primeutr	39.526	140.000	7	50	3541965
R0020C	903.252	3199.288	3596	1124	3541965
R0030W	459.042	1625.912	891	548	3541965
R0040C	599.436	2123.180	1896	893	3541965
RNA170	7.314	25.907	5	193	3541965
RPR1	127.874	452.926	178	393	3541965
SCR1	1948.899	6902.930	3769	546	3541965
TLC1	139.993	495.849	657	1325	3541965
YAL001C	32.338	114.541	397	3466	3541965
YAL001C_3primeutr	50.819	180.000	9	50	3541965
YAL001C_intron	6.886	24.390	2	82	3541965
YAL002W	10.402	36.843	141	3827	3541965
YAL003W	1713.607	6069.536	3666	604	3541965
YAL003W_3primeutr	1524.001	5397.959	1058	196	3541965
YAL005C_3primeutr	209.873	743.363	84	113	3541965
YAL005C_5primeutr	88.228	312.500	15	48	3541965
YAL007C	281.026	995.385	647	650	3541965
YAL007C_3primeutr	486.514	1723.214	193	112	3541965
YAL007C_5primeutr	157.453	557.692	29	52	3541965
YAL008W	51.375	181.970	109	599	3541965
YAL008W_3primeutr	84.699	300.000	36	120	3541965
YAL008W_5primeutr	15.400	54.545	3	55	3541965
YAL009W	103.978	368.286	288	782	3541965
YAL009W_3primeutr	92.246	326.733	33	101	3541965
YAL009W_5primeutr	56.466	200.000	2	10	3541965
YAL010C	36.147	128.032	190	1484	3541965
YAL010C_3primeutr	13.286	47.059	4	85	3541965
YAL011W	15.168	53.723	101	1880	3541965
YAL011W_3primeutr	6.643	23.529	2	85	3541965
YAL012W	86.102	304.971	362	1187	3541965
YAL012W_3primeutr	94.110	333.333	29	87	3541965
YAL012W_5primeutr	33.879	120.000	6	50	3541965
YAL013W	24.774	87.747	111	1265	3541965
YAL013W_3primeutr	20.166	71.429	2	28	3541965
YAL013W_5primeutr	16.608	58.824	1	17	3541965
YAL014C	50.233	177.922	137	770	3541965
YAL014C_3primeutr	104.735	370.968	46	124	3541965
YAL014C_5primeutr	90.749	321.429	9	28	3541965
YAL015C	55.197	195.507	235	1202	3541965
YAL015C_3primeutr	58.702	207.921	21	101	3541965
YAL016W	155.798	551.832	1054	1910	3541965
YAL016W_3primeutr	146.206	517.857	29	56	3541965
YAL017W	16.983	60.152	245	4073	3541965
YAL017W_3primeutr	45.173	160.000	28	175	3541965
YAL017W_5primeutr	9.625	34.091	12	352	3541965
YAL018C	0.864	3.061	3	980	3541965
YAL019W	27.086	95.939	326	3398	3541965
YAL019W_3primeutr	11.764	41.667	2	48	3541965
YAL019W_5primeutr	12.833	45.455	4	88	3541965
YAL020C	43.587	154.382	155	1004	3541965
YAL020C_3primeutr	91.566	324.324	12	37	3541965
YAL021C	23.004	81.479	205	2516	3541965
YAL021C_3primeutr	26.263	93.023	20	215	3541965
YAL022C	105.057	372.108	579	1556	3541965
YAL022C_3primeutr	67.759	240.000	6	25	3541965
YAL022C_5primeutr	62.740	222.222	4	18	3541965
YAL023C	74.603	264.242	603	2282	3541965
YAL023C_3primeutr	58.819	208.333	20	96	3541965
YAL023C_5primeutr	85.926	304.348	21	69	3541965
YAL024C	9.760	34.571	149	4310	3541965
YAL024C_3primeutr	7.495	26.549	3	113	3541965
YAL025C	224.212	794.150	733	923	3541965
YAL025C_3primeutr	263.632	933.775	141	151	3541965
YAL025C_5primeutr	352.911	1250.000	10	8	3541965
YAL026C	26.291	93.120	379	4070	3541965
YAL026C_3primeutr	34.979	123.894	14	113	3541965
YAL026C_5primeutr	31.812	112.676	8	71	3541965
YAL027W	82.406	291.878	230	788	3541965
YAL027W_3primeutr	78.931	279.570	26	93	3541965
YAL028W	6.041	21.397	34	1589	3541965
YAL028W_3primeutr	6.417	22.727	1	44	3541965
YAL029C	27.159	96.197	425	4418	3541965
YAL029C_3primeutr	26.888	95.238	2	21	3541965
YAL030W	35.186	124.629	42	337	3541965
YAL030W_3primeutr	37.230	131.868	12	91	3541965
YAL030W_5primeutr	40.333	142.857	1	7	3541965
YAL031C	23.476	83.151	190	2285	3541965
YAL032C	32.386	114.711	131	1142	3541965
YAL032C_3primeutr	28.233	100.000	2	20	3541965
YAL032C_5primeutr	29.719	105.263	2	19	3541965
YAL033W	203.665	721.374	378	524	3541965
YAL033W_3primeutr	352.911	1250.000	75	60	3541965
YAL034C	4.085	14.469	18	1244	3541965
YAL034C_3primeutr	2.567	9.091	1	110	3541965
YAL034W-A	30.111	106.651	93	872	3541965
YAL034W-A_3primeutr	37.149	131.579	10	76	3541965
YAL035W	136.429	483.228	1455	3011	3541965
YAL035W_3primeutr	166.261	588.889	53	90	3541965
YAL035W_5primeutr	112.932	400.000	2	5	3541965
YAL036C	208.446	738.309	821	1112	3541965
YAL036C_3primeutr	232.506	823.529	126	153	3541965
YAL036C_5primeutr	635.241	2250.000	9	4	3541965
YAL037C-A	5.944	21.053	2	95	3541965
YAL037C-A_3primeutr	10.457	37.037	1	27	3541965
YAL037W	25.921	91.811	74	806	3541965
YAL038W	2025.454	7174.086	10797	1505	3541965
YAL038W_3primeutr	2960.741	10486.842	1594	152	3541965
YAL038W_5primeutr	1889.434	6692.308	87	13	3541965
YAL039C	52.850	187.192	152	812	3541965
YAL039C_3primeutr	24.550	86.957	2	23	3541965
YAL039C_5primeutr	49.823	176.471	6	34	3541965
YAL040C	16.179	57.307	100	1745	3541965
YAL040C_5primeutr	16.772	59.406	18	303	3541965
YAL041W	47.403	167.900	431	2567	3541965
YAL041W_3primeutr	6.417	22.727	1	44	3541965
YAL041W_5primeutr	15.685	55.556	4	72	3541965
YAL042W	386.904	1370.400	1713	1250	3541965
YAL042W_3primeutr	354.928	1257.143	88	70	3541965
YAL043C	29.549	104.661	247	2360	3541965
YAL043C_3primeutr	32.829	116.279	5	43	3541965
YAL043C_5primeutr	8.067	28.571	1	35	3541965
YAL044C	1014.192	3592.233	1850	515	3541965
YAL044C_3primeutr	1339.562	4744.681	223	47	3541965
YAL044W-A	73.321	259.701	87	335	3541965
YAL044W-A_3primeutr	102.665	363.636	36	99	3541965
YAL046C	85.721	303.621	109	359	3541965
YAL046C_3primeutr	117.193	415.094	44	106	3541965
YAL046C_5primeutr	9.107	32.258	1	31	3541965
YAL047C	20.824	73.757	138	1871	3541965
YAL047C_3primeutr	49.408	175.000	7	40	3541965
YAL048C	15.456	54.746	109	1991	3541965
YAL048C_3primeutr	21.718	76.923	5	65	3541965
YAL049C	120.455	426.649	317	743	3541965
YAL049C_3primeutr	82.072	290.698	25	86	3541965
YAL049C_5primeutr	85.554	303.030	10	33	3541965
YAL051W	14.628	51.812	163	3146	3541965
YAL051W_3primeutr	18.547	65.693	9	137	3541965
YAL053W	52.892	187.341	441	2354	3541965
YAL053W_3primeutr	72.392	256.410	10	39	3541965
YAL053W_5primeutr	24.286	86.022	8	93	3541965
YAL054C	3.029	10.728	23	2144	3541965
YAL055W	27.974	99.083	54	545	3541965
YAL055W_3primeutr	18.150	64.286	9	140	3541965
YAL056W	64.365	227.977	603	2645	3541965
YAL056W_3primeutr	96.492	341.772	27	79	3541965
YAL056W_5primeutr	9.411	33.333	1	30	3541965
YAL058W	44.470	157.512	238	1511	3541965
YAL058W_3primeutr	41.316	146.341	6	41	3541965
YAL058W_5primeutr	41.519	147.059	5	34	3541965
YAL059W	243.569	862.715	553	641	3541965
YAL059W_3primeutr	580.884	2057.471	179	87	3541965
YAL060W	121.173	429.192	494	1151	3541965
YAL060W_3primeutr	192.744	682.692	71	104	3541965
YAL060W_5primeutr	40.333	142.857	10	70	3541965
YAL061W	14.161	50.159	63	1256	3541965
YAL061W_3primeutr	26.790	94.891	13	137	3541965
YAL061W_5primeutr	9.366	33.175	7	211	3541965
YAL062W_3primeutr	3.529	12.500	1	80	3541965
YAL067C	4.115	14.574	26	1784	3541965
YAR002C-A	393.214	1392.749	922	662	3541965
YAR002C-A_3primeutr	402.469	1425.532	67	47	3541965
YAR002C-A_5primeutr	97.729	346.154	9	26	3541965
YAR002W	74.847	265.105	430	1622	3541965
YAR002W_3primeutr	72.224	255.814	22	86	3541965
YAR002W_5primeutr	84.699	300.000	3	10	3541965
YAR003W	87.361	309.431	397	1283	3541965
YAR003W_3primeutr	78.490	278.008	134	482	3541965
YAR003W_5primeutr	217.176	769.231	10	13	3541965
YAR007C	77.988	276.231	516	1868	3541965
YAR007C_3primeutr	96.586	342.105	13	38	3541965
YAR007C_5primeutr	40.333	142.857	7	49	3541965
