# Conf {confExprBinPathM = Just "/data/ingolia/Libraries/SGD/saccharomyces_cerevisiae_end__expr_pos.bin", confLenPathM = Nothing, confAligns = ["../Alignments/mrna_rich_b_080617_l6_080617_l6_chr.align","../Alignments/mrna_rich_b_080701_l7_080701_l7_chr.align","../Alignments/mrna_rich_b_080726_l4_080726_l4_chr.align"], confOutbaseM = Just "mrna_rich_b_late", confFilterM = Just MrnaYeast, confTimestamp = "2010-02-16 00:39:52 PST"}
orf	norm	count	na1	na2
Q0010	0.00	0	302	1337598
Q0032	0.00	0	289	1337598
Q0045	28.81	19	493	1337598
Q0050	20.89	14	501	1337598
Q0055	13.43	9	501	1337598
Q0060	10.45	7	501	1337598
Q0065	17.91	12	501	1337598
Q0070	13.43	9	501	1337598
Q0075	19.21	13	506	1337598
Q0080	61.87	12	145	1337598
Q0085	13.43	9	501	1337598
Q0092	5.38	1	139	1337598
Q0105	20.51	11	401	1337598
Q0110	1.49	1	501	1337598
Q0115	0.00	0	501	1337598
Q0120	5.97	4	501	1337598
Q0130	535.41	164	229	1337598
Q0140	1.49	1	501	1337598
Q0142	0.00	0	175	1337598
Q0143	0.00	0	151	1337598
Q0144	2.28	1	328	1337598
Q0160	40.29	27	501	1337598
Q0182	7.42	4	403	1337598
Q0250	71.05	46	484	1337598
Q0255	0.00	0	511	1337598
Q0275	29.84	20	501	1337598
Q0297	4.85	1	154	1337598
YAL001C	80.58	54	501	1337598
YAL002W	17.91	12	501	1337598
YAL003W	3623.14	2428	501	1337598
YAL004W	1.49	1	501	1337598
YAL005C	213.39	143	501	1337598
YAL007C	643.15	431	501	1337598
YAL008W	110.43	74	501	1337598
YAL009W	220.85	148	501	1337598
YAL010C	97.00	65	501	1337598
YAL011W	43.27	29	501	1337598
YAL012W	189.51	127	501	1337598
YAL013W	52.23	35	501	1337598
YAL014C	117.89	79	501	1337598
YAL015C	125.35	84	501	1337598
YAL016C-A	2.39	1	313	1337598
YAL016C-B	0.00	0	184	1337598
YAL016W	289.49	194	501	1337598
YAL017W	58.20	39	501	1337598
YAL018C	2.98	2	501	1337598
YAL019W	74.61	50	501	1337598
YAL019W-A	0.00	0	501	1337598
YAL020C	108.93	73	501	1337598
YAL021C	28.35	19	501	1337598
YAL022C	241.74	162	501	1337598
YAL023C	153.70	103	501	1337598
YAL024C	44.77	30	501	1337598
YAL025C	383.50	257	501	1337598
YAL026C	62.91	26	309	1337598
YAL026C-A	24.51	8	244	1337598
YAL027W	164.15	110	501	1337598
YAL028W	23.88	16	501	1337598
YAL029C	120.87	81	501	1337598
YAL030W	43.98	21	357	1337598
YAL031C	52.23	35	501	1337598
YAL031W-A	0.00	0	307	1337598
YAL032C	64.17	43	501	1337598
YAL033W	434.24	291	501	1337598
YAL034C	10.45	7	501	1337598
YAL034C-B	2.12	1	352	1337598
YAL034W-A	70.13	47	501	1337598
YAL035W	331.28	222	501	1337598
YAL036C	537.20	360	501	1337598
YAL037C-A	0.00	0	91	1337598
YAL037C-B	0.00	0	501	1337598
YAL037W	43.27	29	501	1337598
YAL038W	4657.26	3121	501	1337598
YAL039C	135.79	91	501	1337598
YAL040C	29.84	20	501	1337598
YAL041W	131.32	88	501	1337598
YAL042C-A	1.99	1	376	1337598
YAL042W	746.12	500	501	1337598
YAL043C	68.64	46	501	1337598
YAL044C	1933.93	1296	501	1337598
YAL044W-A	162.62	72	331	1337598
YAL045C	14.61	6	307	1337598
YAL046C	176.90	84	355	1337598
YAL047C	49.24	33	501	1337598
YAL047W-A	11.40	5	328	1337598
YAL048C	40.29	27	501	1337598
YAL049C	234.28	157	501	1337598
YAL051W	55.21	37	501	1337598
YAL053W	129.82	87	501	1337598
YAL054C	22.38	15	501	1337598
YAL055W	55.21	37	501	1337598
YAL056C-A	2.14	1	349	1337598
YAL056W	110.43	74	501	1337598
YAL058W	70.13	47	501	1337598
YAL059C-A	7.10	4	421	1337598
YAL059W	525.27	352	501	1337598
YAL060W	290.99	195	501	1337598
YAL061W	28.35	19	501	1337598
YAL062W	14.92	10	501	1337598
YAL063C	0.00	0	501	1337598
YAL063C-A	5.17	2	289	1337598
YAL064C-A	0.00	0	379	1337598
YAL064W	0.00	0	325	1337598
YAL064W-B	0.00	0	379	1337598
YAL065C	1.94	1	385	1337598
YAL066W	0.00	0	307	1337598
YAL067C	14.92	10	501	1337598
YAL067W-A	0.00	0	208	1337598
YAL068C	0.00	0	258	1337598
YAL068W-A	0.00	0	142	1337598
YAL069W	0.00	0	195	1337598
YAR002C-A	767.01	514	501	1337598
YAR002W	171.61	115	501	1337598
YAR003W	131.32	88	501	1337598
YAR007C	167.13	112	501	1337598
YAR008W	192.50	129	501	1337598
YAR014C	128.33	86	501	1337598
YAR015W	1232.58	826	501	1337598
YAR018C	40.29	27	501	1337598
YAR019C	5.97	4	501	1337598
YAR019W-A	8.72	4	343	1337598
YAR020C	14.29	3	157	1337598
YAR023C	59.69	40	501	1337598
YAR027W	319.34	214	501	1337598
YAR028W	204.44	137	501	1337598
YAR029W	113.99	34	223	1337598
YAR030C	6.60	3	340	1337598
YAR031W	31.34	21	501	1337598
YAR033W	29.84	20	501	1337598
YAR035W	5.97	4	501	1337598
YAR042W	31.34	21	501	1337598
YAR047C	7.03	3	319	1337598
YAR050W	5.97	4	501	1337598
YAR053W	7.60	3	295	1337598
YAR060C	0.00	0	334	1337598
YAR064W	0.00	0	298	1337598
YAR066W	0.00	0	501	1337598
YAR068W	0.00	0	484	1337598
YAR069C	0.00	0	292	1337598
YAR070C	7.53	3	298	1337598
YAR071W	74.61	50	501	1337598
YAR073W	1.90	1	393	1337598
YAR075W	6.16	3	364	1337598
YBL001C	699.84	293	313	1337598
YBL002W	2316.83	1221	394	1337598
YBL003C	6285.94	3338	397	1337598
YBL004W	73.12	49	501	1337598
YBL005W	29.84	20	501	1337598
YBL006C	590.92	396	501	1337598
YBL006W-A	5.05	1	148	1337598
YBL007C	95.50	64	501	1337598
YBL008W	55.21	37	501	1337598
YBL008W-A	9.42	3	238	1337598
YBL009W	35.81	24	501	1337598
YBL010C	107.44	72	501	1337598
YBL011W	91.03	61	501	1337598
YBL012C	0.00	0	400	1337598
YBL013W	7.46	5	501	1337598
YBL014C	76.10	51	501	1337598
YBL015W	71.63	48	501	1337598
YBL016W	132.81	89	501	1337598
YBL017C	108.93	73	501	1337598
YBL018C	396.88	215	405	1337598
YBL019W	82.07	55	501	1337598
YBL020W	235.77	158	501	1337598
YBL021C	227.91	132	433	1337598
YBL022C	98.49	66	501	1337598
YBL023C	77.60	52	501	1337598
YBL024W	216.37	145	501	1337598
YBL025W	260.63	152	436	1337598
YBL026W	498.41	194	291	1337598
YBL027W	5012.41	3359	501	1337598
YBL028C	1197.58	511	319	1337598
YBL029C-A	171.71	65	283	1337598
YBL029W	50.74	34	501	1337598
YBL030C	207.42	139	501	1337598
YBL031W	40.29	27	501	1337598
YBL032W	171.61	115	501	1337598
YBL033C	126.84	85	501	1337598
YBL034C	26.86	18	501	1337598
YBL035C	41.78	28	501	1337598
YBL036C	528.25	354	501	1337598
YBL037W	17.91	12	501	1337598
YBL038W	386.49	259	501	1337598
YBL039C	708.81	475	501	1337598
YBL039W-B	155.40	37	178	1337598
YBL040C	926.68	621	501	1337598
YBL041W	347.69	233	501	1337598
YBL042C	155.19	104	501	1337598
YBL043W	5.97	4	501	1337598
YBL044W	0.00	0	367	1337598
YBL045C	161.16	108	501	1337598
YBL046W	131.32	88	501	1337598
YBL047C	91.03	61	501	1337598
YBL048W	14.47	6	310	1337598
YBL049W	7.21	4	415	1337598
YBL050W	456.62	306	501	1337598
YBL051C	43.27	29	501	1337598
YBL052C	98.49	66	501	1337598
YBL053W	2.00	1	373	1337598
YBL054W	108.93	73	501	1337598
YBL055C	208.91	140	501	1337598
YBL056W	507.36	340	501	1337598
YBL057C	387.98	260	501	1337598
YBL058W	302.92	203	501	1337598
YBL059C-A	224.51	100	333	1337598
YBL059W	70.92	48	506	1337598
YBL060W	86.55	58	501	1337598
YBL061C	183.54	123	501	1337598
YBL062W	0.00	0	379	1337598
YBL063W	34.32	23	501	1337598
YBL064C	97.00	65	501	1337598
YBL065W	21.80	10	343	1337598
YBL066C	7.46	5	501	1337598
YBL067C	85.06	57	501	1337598
YBL068W	332.77	223	501	1337598
YBL069W	81.51	29	266	1337598
YBL070C	14.06	6	319	1337598
YBL071C	17.05	7	307	1337598
YBL071C-B	46.24	6	97	1337598
YBL071W-A	260.30	86	247	1337598
YBL072C	1537.00	1030	501	1337598
YBL073W	2.41	1	310	1337598
YBL074C	65.66	44	501	1337598
YBL075C	70.13	47	501	1337598
YBL076C	565.56	379	501	1337598
YBL077W	0.00	0	430	1337598
YBL078C	67.96	32	352	1337598
YBL079W	113.41	76	501	1337598
YBL080C	74.61	50	501	1337598
YBL081W	67.15	45	501	1337598
YBL082C	84.51	13	115	1337598
YBL084C	38.80	26	501	1337598
YBL085W	88.04	59	501	1337598
YBL086C	71.63	48	501	1337598
YBL087C	5211.75	2907	417	1337598
YBL088C	22.38	15	501	1337598
YBL089W	128.33	86	501	1337598
YBL090W	323.81	217	501	1337598
YBL091C	228.31	153	501	1337598
YBL091C-A	67.69	45	497	1337598
YBL092W	6810.70	3562	391	1337598
YBL093C	620.77	416	501	1337598
YBL094C	9.03	4	331	1337598
YBL095W	280.54	188	501	1337598
YBL096C	4.87	2	307	1337598
YBL097W	73.12	49	501	1337598
YBL098W	191.01	128	501	1337598
YBL099W	189.51	127	501	1337598
YBL100C	2.39	1	313	1337598
YBL100W-C	0.00	0	118	1337598
YBL101C	20.89	14	501	1337598
YBL102W	525.27	352	501	1337598
YBL103C	82.07	55	501	1337598
YBL104C	44.77	30	501	1337598
YBL105C	59.69	40	501	1337598
YBL106C	28.35	19	501	1337598
YBL107C	277.56	186	501	1337598
YBL108W	2.69	1	278	1337598
YBL109W	0.00	0	276	1337598
YBR001C	41.78	28	501	1337598
YBR002C	244.73	164	501	1337598
YBR003W	92.52	62	501	1337598
YBR004C	88.04	59	501	1337598
YBR005W	152.21	102	501	1337598
YBR006W	108.93	73	501	1337598
YBR007C	62.67	42	501	1337598
YBR008C	56.70	38	501	1337598
YBR009C	6371.56	2642	310	1337598
YBR010W	10362.33	5669	409	1337598
YBR011C	629.72	422	501	1337598
YBR012C	282.59	158	418	1337598
YBR013C	50.10	26	388	1337598
YBR014C	370.07	248	501	1337598
YBR015C	85.06	57	501	1337598
YBR016W	106.80	55	385	1337598
YBR017C	158.18	106	501	1337598
YBR018C	26.86	18	501	1337598
YBR019C	4.48	3	501	1337598
YBR020W	10.45	7	501	1337598
YBR021W	28.35	19	501	1337598
YBR022W	228.31	153	501	1337598
YBR023C	216.37	145	501	1337598
YBR024W	88.04	59	501	1337598
YBR025C	1117.68	749	501	1337598
YBR026C	138.78	93	501	1337598
YBR027C	60.98	27	331	1337598
YBR028C	82.07	55	501	1337598
YBR029C	73.12	49	501	1337598
YBR030W	123.86	83	501	1337598
YBR031W	832.67	558	501	1337598
YBR032W	9.94	4	301	1337598
YBR033W	10.45	7	501	1337598
YBR034C	662.55	444	501	1337598
YBR035C	358.14	240	501	1337598
YBR036C	265.62	178	501	1337598
YBR037C	111.92	75	501	1337598
YBR038W	40.29	27	501	1337598
YBR039W	259.65	174	501	1337598
YBR040W	13.43	9	501	1337598
YBR041W	125.35	84	501	1337598
YBR042C	383.50	257	501	1337598
YBR043C	155.19	104	501	1337598
YBR044C	119.38	80	501	1337598
YBR045C	31.34	21	501	1337598
YBR046C	71.63	48	501	1337598
YBR047W	102.96	69	501	1337598
YBR048W	1219.20	773	474	1337598
YBR049C	83.57	56	501	1337598
YBR050C	11.94	8	501	1337598
YBR051W	0.00	0	349	1337598
YBR052C	361.12	242	501	1337598
YBR053C	193.99	130	501	1337598
YBR054W	68.64	46	501	1337598
YBR055C	99.98	67	501	1337598
YBR056C-B	0.00	0	157	1337598
YBR056W	137.29	92	501	1337598
YBR056W-A	236.68	63	199	1337598
YBR057C	123.86	83	501	1337598
YBR058C	141.76	95	501	1337598
YBR058C-A	1104.35	356	241	1337598
YBR059C	50.74	34	501	1337598
YBR060C	79.09	53	501	1337598
YBR061C	195.48	131	501	1337598
YBR062C	249.20	167	501	1337598
YBR063C	73.12	49	501	1337598
YBR064W	0.00	0	427	1337598
YBR065C	67.15	45	501	1337598
YBR066C	198.47	133	501	1337598
YBR067C	801.33	537	501	1337598
YBR068C	737.16	494	501	1337598
YBR069C	571.53	383	501	1337598
YBR070C	144.75	97	501	1337598
YBR071W	147.73	99	501	1337598
YBR072C-A	18.69	4	160	1337598
YBR072W	46.26	31	501	1337598
YBR073W	140.27	94	501	1337598
YBR074W	123.86	83	501	1337598
YBR076C-A	93.10	33	265	1337598
YBR076W	14.92	10	501	1337598
YBR077C	330.05	215	487	1337598
YBR078W	840.13	563	501	1337598
YBR079C	226.82	152	501	1337598
YBR080C	94.01	63	501	1337598
YBR081C	52.23	35	501	1337598
YBR082C	629.65	379	450	1337598
YBR083W	31.34	21	501	1337598
YBR084C-A	3306.79	2216	501	1337598
YBR084W	326.80	219	501	1337598
YBR085C-A	826.46	283	256	1337598
YBR085W	161.16	108	501	1337598
YBR086C	92.52	62	501	1337598
YBR087W	441.70	296	501	1337598
YBR088C	310.38	208	501	1337598
YBR089C-A	569.86	109	143	1337598
YBR089W	11.94	8	501	1337598
YBR090C	31.01	9	217	1337598
YBR091C	250.72	110	328	1337598
YBR092C	435.73	292	501	1337598
YBR093C	322.32	216	501	1337598
YBR094W	101.47	68	501	1337598
YBR095C	113.41	76	501	1337598
YBR096W	487.96	327	501	1337598
YBR097W	31.34	21	501	1337598
YBR098W	35.81	24	501	1337598
YBR099C	48.93	25	382	1337598
YBR101C	565.56	379	501	1337598
YBR102C	41.78	28	501	1337598
YBR103C-A	0.00	0	142	1337598
YBR103W	214.88	144	501	1337598
YBR104W	502.88	337	501	1337598
YBR105C	41.78	28	501	1337598
YBR106W	3281.42	2199	501	1337598
YBR107C	55.21	37	501	1337598
YBR108W	10.45	7	501	1337598
YBR109C	671.49	397	442	1337598
YBR109W-A	43.58	13	223	1337598
YBR110W	225.33	151	501	1337598
YBR111C	502.88	337	501	1337598
YBR111W-A	250.04	100	299	1337598
YBR112C	68.64	46	501	1337598
YBR113W	1.55	1	481	1337598
YBR114W	31.34	21	501	1337598
YBR115C	86.55	58	501	1337598
YBR116C	11.62	3	193	1337598
YBR117C	22.25	5	168	1337598
YBR118W	82.07	55	501	1337598
YBR119W	77.60	52	501	1337598
YBR120C	139.70	91	487	1337598
YBR121C	1059.49	710	501	1337598
YBR122C	541.68	363	501	1337598
YBR123C	70.13	47	501	1337598
YBR124W	0.00	0	358	1337598
YBR125C	134.30	90	501	1337598
YBR126C	193.99	130	501	1337598
YBR127C	695.38	466	501	1337598
YBR128C	41.78	28	501	1337598
YBR129C	347.69	233	501	1337598
YBR130C	83.57	56	501	1337598
