# Conf {confExprBinPathM = Just "/data/ingolia/Libraries/SGD/saccharomyces_cerevisiae_expr_pos.bin", confLenPathM = Nothing, confAligns = ["../Alignments/mrna_rich_b_080617_l6_080617_l6_chr.align","../Alignments/mrna_rich_b_080701_l7_080701_l7_chr.align","../Alignments/mrna_rich_b_080726_l4_080726_l4_chr.align"], confOutbaseM = Just "mrna_rich_b", confFilterM = Just MrnaYeast, confTimestamp = "2010-02-15 18:39:27 PST"}
orf	norm	count	na1	na2
Q0010	0.00	0	302	2359490
Q0032	0.00	0	289	2359490
Q0045	16.87	25	628	2359490
Q0050	18.20	103	2399	2359490
Q0055	6.68	38	2410	2359490
Q0060	4.47	11	1042	2359490
Q0065	12.17	28	975	2359490
Q0070	5.46	12	932	2359490
Q0075	13.49	34	1068	2359490
Q0080	35.07	12	145	2359490
Q0085	9.26	17	778	2359490
Q0092	3.05	1	139	2359490
Q0105	11.63	11	401	2359490
Q0110	3.25	7	912	2359490
Q0115	0.79	2	1072	2359490
Q0120	1.81	5	1172	2359490
Q0130	303.52	164	229	2359490
Q0140	4.27	12	1191	2359490
Q0142	0.00	0	175	2359490
Q0143	0.00	0	151	2359490
Q0144	1.29	1	328	2359490
Q0160	19.81	33	706	2359490
Q0182	4.21	4	403	2359490
Q0250	37.38	65	737	2359490
Q0255	6.31	21	1410	2359490
Q0275	14.69	28	808	2359490
Q0297	2.75	1	154	2359490
YAL001C	34.41	283	3486	2359490
YAL002W	10.64	96	3823	2359490
YAL003W	1899.04	2796	624	2359490
YAL004W	0.66	1	646	2359490
YAL005C	64.00	291	1927	2359490
YAL007C	330.66	504	646	2359490
YAL008W	59.83	84	595	2359490
YAL009W	116.58	214	778	2359490
YAL010C	41.52	145	1480	2359490
YAL011W	18.30	81	1876	2359490
YAL012W	103.18	288	1183	2359490
YAL013W	29.58	88	1261	2359490
YAL014C	59.76	108	766	2359490
YAL015C	58.02	164	1198	2359490
YAL016C-A	1.35	1	313	2359490
YAL016C-B	0.00	0	184	2359490
YAL016W	167.44	753	1906	2359490
YAL017W	19.58	188	4069	2359490
YAL018C	1.30	3	976	2359490
YAL019W	29.35	235	3394	2359490
YAL019W-A	0.00	0	568	2359490
YAL020C	48.74	115	1000	2359490
YAL021C	21.43	127	2512	2359490
YAL022C	116.61	427	1552	2359490
YAL023C	84.65	455	2278	2359490
YAL024C	11.22	114	4306	2359490
YAL025C	237.51	515	919	2359490
YAL026C	26.58	243	3874	2359490
YAL026C-A	13.90	8	244	2359490
YAL027W	95.14	176	784	2359490
YAL028W	8.02	30	1585	2359490
YAL029C	29.67	309	4414	2359490
YAL030W	24.93	21	357	2359490
YAL031C	25.46	137	2281	2359490
YAL031W-A	0.00	0	307	2359490
YAL032C	34.26	92	1138	2359490
YAL033W	245.33	301	520	2359490
YAL034C	5.47	16	1240	2359490
YAL034C-B	1.20	1	352	2359490
YAL034W-A	35.64	73	868	2359490
YAL035W	145.64	1033	3006	2359490
YAL036C	229.89	601	1108	2359490
YAL037C-A	0.00	0	91	2359490
YAL037C-B	0.44	1	973	2359490
YAL037W	26.95	51	802	2359490
YAL038W	2385.93	8450	1501	2359490
YAL039C	65.57	125	808	2359490
YAL040C	20.21	83	1741	2359490
YAL041W	52.75	319	2563	2359490
YAL042C-A	1.13	1	376	2359490
YAL042W	423.14	1244	1246	2359490
YAL043C	32.38	180	2356	2359490
YAL044C	1101.44	1328	511	2359490
YAL044W-A	92.19	72	331	2359490
YAL045C	8.28	6	307	2359490
YAL046C	100.28	84	355	2359490
YAL047C	23.84	105	1867	2359490
YAL047W-A	6.46	5	328	2359490
YAL048C	15.57	73	1987	2359490
YAL049C	131.91	230	739	2359490
YAL051W	16.73	124	3142	2359490
YAL053W	61.14	339	2350	2359490
YAL054C	3.56	18	2140	2359490
YAL055W	29.77	38	541	2359490
YAL056C-A	1.21	1	349	2359490
YAL056W	71.09	443	2641	2359490
YAL058W	46.97	167	1507	2359490
YAL059C-A	4.03	4	421	2359490
YAL059W	264.14	397	637	2359490
YAL060W	134.50	364	1147	2359490
YAL061W	16.25	48	1252	2359490
YAL062W	7.41	24	1372	2359490
YAL063C	0.62	5	3406	2359490
YAL063C-A	2.93	2	289	2359490
YAL064C-A	0.00	0	379	2359490
YAL064W	0.00	0	325	2359490
YAL064W-B	0.00	0	379	2359490
YAL065C	1.10	1	385	2359490
YAL066W	0.00	0	307	2359490
YAL067C	5.24	22	1780	2359490
YAL067W-A	0.00	0	208	2359490
YAL068C	0.00	0	258	2359490
YAL068W-A	0.00	0	142	2359490
YAL069W	0.00	0	195	2359490
YAR002C-A	461.82	717	658	2359490
YAR002W	85.65	327	1618	2359490
YAR003W	99.08	299	1279	2359490
YAR007C	88.45	389	1864	2359490
YAR008W	105.70	206	826	2359490
YAR014C	75.30	377	2122	2359490
YAR015W	670.55	1454	919	2359490
YAR018C	22.07	68	1306	2359490
YAR019C	8.12	56	2923	2359490
YAR019W-A	4.94	4	343	2359490
YAR020C	8.10	3	157	2359490
YAR023C	35.45	45	538	2359490
YAR027W	178.89	298	706	2359490
YAR028W	115.15	191	703	2359490
YAR029W	64.62	34	223	2359490
YAR030C	3.74	3	340	2359490
YAR031W	20.36	43	895	2359490
YAR033W	17.48	29	703	2359490
YAR035W	2.26	11	2062	2359490
YAR042W	12.60	106	3565	2359490
YAR047C	3.99	3	319	2359490
YAR050W	1.04	10	4079	2359490
YAR053W	4.31	3	295	2359490
YAR060C	0.00	0	334	2359490
YAR064W	0.00	0	298	2359490
YAR066W	0.00	0	610	2359490
YAR068W	0.00	0	484	2359490
YAR069C	0.00	0	292	2359490
YAR070C	4.27	3	298	2359490
YAR071W	19.65	65	1402	2359490
YAR073W	0.77	2	1102	2359490
YAR075W	3.49	3	364	2359490
YBL001C	396.74	293	313	2359490
YBL002W	1313.41	1221	394	2359490
YBL003C	3563.51	3338	397	2359490
YBL004W	31.73	560	7480	2359490
YBL005W	16.35	113	2929	2359490
YBL006C	342.35	437	541	2359490
YBL006W-A	2.86	1	148	2359490
YBL007C	34.97	308	3733	2359490
YBL008W	33.79	201	2521	2359490
YBL008W-A	5.34	3	238	2359490
YBL009W	20.89	100	2029	2359490
YBL010C	58.96	117	841	2359490
YBL011W	39.07	210	2278	2359490
YBL012C	0.00	0	400	2359490
YBL013W	3.52	10	1204	2359490
YBL014C	39.02	247	2683	2359490
YBL015W	30.87	115	1579	2359490
YBL016W	84.36	211	1060	2359490
YBL017C	44.82	501	4738	2359490
YBL018C	224.99	215	405	2359490
YBL019W	37.20	137	1561	2359490
YBL020W	90.52	368	1723	2359490
YBL021C	129.20	132	433	2359490
YBL022C	38.02	305	3400	2359490
YBL023C	32.21	198	2605	2359490
YBL024W	109.41	530	2053	2359490
YBL025W	147.75	152	436	2359490
YBL026W	282.55	194	291	2359490
YBL027W	2870.56	3820	564	2359490
YBL028C	678.91	511	319	2359490
YBL029C-A	97.34	65	283	2359490
YBL029W	23.65	63	1129	2359490
YBL030C	100.30	226	955	2359490
YBL031W	21.71	52	1015	2359490
YBL032W	83.36	225	1144	2359490
YBL033C	72.00	176	1036	2359490
YBL034C	8.40	90	4540	2359490
YBL035C	17.02	85	2116	2359490
YBL036C	286.02	521	772	2359490
YBL037W	15.85	115	3076	2359490
YBL038W	198.84	327	697	2359490
YBL039C	391.32	1529	1656	2359490
YBL039W-B	88.10	37	178	2359490
YBL040C	506.41	791	662	2359490
YBL041W	194.93	333	724	2359490
YBL042C	67.17	304	1918	2359490
YBL043W	2.74	5	772	2359490
YBL044W	0.00	0	367	2359490
YBL045C	89.89	291	1372	2359490
YBL046W	70.42	220	1324	2359490
YBL047C	27.92	273	4144	2359490
YBL048W	8.20	6	310	2359490
YBL049W	4.09	4	415	2359490
YBL050W	223.92	466	882	2359490
YBL051C	23.25	110	2005	2359490
YBL052C	49.79	293	2494	2359490
YBL053W	1.14	1	373	2359490
YBL054W	55.67	207	1576	2359490
