# Lee et al. "A dynamic model of proteome changes reveals new roles for transcript alteration in yeast" Molecular Systems Biology 7:514 (2011).
#Protein	Metrics	NA	NA	Quantitation	NA	NA	NA	NA	NA	NA	NA
#Protein	Probability Score	PSMs	Unique Peptides	"TMT-130 Intensity
#0 min"	"TMT-126 Intensity
#30 min"	"TMT-127 Intensity
#60 min"	"TMT-128 Intensity
#90 min"	"TMT-129 Intensity
#120 min"	"TMT-131 Intensity
#240 min"	Quantified PSMs	Quantified Unique Peptides
orf	probability.score	psms	unique.peptides	tmt.130.intensity.nacl.0min	tmt.126.intensity.nacl.30min	tmt.127.intensity.nacl.60min	tmt.128.intensity.nacl.90min	tmt.129.intensity.nacl.120min	tmt.131.intensity.nacl.240min	quantified.psms	quantified.unique.peptides
YGR185C	0	185	24	102858375.6	106733917.2	99029873.91	103610485	105744761.5	112841025.9	95	21
YNL055C	0	238	23	137197221.8	143707877.2	159518220.1	159780433.1	164269913.6	152932822	140	19
YBR084W	0	114	29	50616077.29	49686991.95	45886666.89	44109514.18	43334966.55	45136078.19	41	16
YML063W	0	697	32	139164325.5	133044010.9	128440479.9	130902517.6	131622647.3	136587736.2	63	8
YPL106C	0	1091	56	627038266	618117484.7	605036056.3	601870193.4	570186957.6	546658696.2	512	51
YPR074C	0	368	34	234059263.3	217343479.7	209863633.4	220389559.2	212302856.2	216260569.5	204	28
YKL210W	0	329	39	153696412.8	152338851.2	176295202.3	182242787.8	179721099.5	172262812.3	181	35
YBL039C	0	168	33	78974692.84	75693300.82	71241335.54	70075417.76	68280080.09	65276936.98	69	18
YKR059W	0	585	29	279643859.6	271685644.8	263348722.6	265855874.4	261960299.8	264517643.5	326	31
YER025W	0	235	24	165753983.8	156876028.4	160404069.2	161587625.7	159303582.5	155150189.9	149	22
YNL220W	0	229	27	130316956.6	128429502	129824485.8	125467290.3	121430375.9	117012716	130	22
YEL071W	0	267	36	129697880.6	129919399.1	124738870	123505382.2	125038131.7	114110714.6	120	28
YDL140C	0	111	33	30263314.77	31200565.86	30719328.16	30845876.15	30928824.21	29181620.79	34	19
YNL079C	0	179	24	99144225.44	101345592.4	108618229.5	107424555.1	111284118.5	108423644.9	116	21
YGR061C	0	335	46	160038947.9	147220178.2	148805764.3	144217593.4	138637414.3	129942384	169	37
YOR184W	0	170	22	70253499.91	71895501.98	71865849.47	71445807.69	71268826.73	72906696.9	68	16
YHR064C	0	419	30	246347621.8	244099997.4	235120972.1	233573184.1	232999911.4	229272884.4	216	30
YMR229C	0	275	57	130815491.9	120108073.7	116128951.6	112859310.2	110060754	108640925.7	127	37
YER165W	0	568	45	411184514.1	386884960.8	381244795	373365386.6	374100017.6	386815039.8	304	49
YOR096W	0	455	20	141193419.4	127237970	109748230.5	113335473.6	108445973.3	116150199.8	141	10
YNL112W	0	191	26	64233725.05	64006347.41	60900669.69	58145901.69	55693054.06	57670041.93	90	19
YFL039C	0	735	25	293743262	282226196.4	297723117.6	301893706.2	300246334.5	301896072.4	355	40
YBR196C	0	815	31	323672952.1	320621230.2	316165976.8	327804861.3	333690219.4	354679707.5	450	34
YDR129C	0	120	25	45347460.48	48210610.87	51486995.48	52755969.86	52904434.37	52174280.87	55	16
YAL005C	0	3085	65	164803752.9	182685848.5	234134722.7	231657512.3	225050296.7	211763944.6	294	24
YLR432W	0	270	24	35538891.74	36846848.66	33788086.98	35013744.95	36608404.76	42489496.68	38	8
YJL014W	0	146	26	59794773.82	61007323.55	63123785.96	62090342.22	60169960.42	59731912.77	61	20
YLR153C	0	274	33	107921691.5	113195526.8	115596842.3	113848944.7	116249510	120311503.1	123	27
YLR438W	0	267	23	106839092.4	117772640.2	124081679.3	126253864	139028551	156470624.4	133	20
YBL047C	0	102	28	21357756.26	21014460.47	23939124.57	23871050.64	23833603.91	22891030.46	51	19
YGL195W	0	287	60	105159246.7	99345764.41	105781867.8	108553640.3	106266183.4	102311567.9	112	35
YML072C	0	106	34	27578493.75	27497525.02	29607027.37	28612848.85	29951103.95	28649434.16	33	17
YOR168W	0	269	40	161756744.7	159311475	168861978.6	164567318.4	164659288.2	157947716.1	119	30
YHR068W	0	124	24	66573697.75	65731673.51	65012854.36	65398389.95	63629354.63	62307634.18	58	16
YJR064W	0	115	28	79353327.54	75188041.83	81486576.19	80073329.86	77360068.05	72981164.94	45	21
YLR075W	0	568	26	354503454.1	354866981.6	334187240.1	325948452.5	333551082.4	337202628.8	341	25
YMR205C	0	445	44	182267047.2	181238969.3	188308470.6	197635530.1	200913549.6	198485618.5	199	36
YLR060W	0	235	30	123142252.2	119741493.4	122817491.6	125016829.6	125415539.4	126638145	116	22
YGR192C	0	9075	46	950380646.1	871048584.9	907631403.3	907509667.7	894361013	935083156.8	3009	22
YHR183W	0	512	42	357614410.2	336369035.8	344295441.7	344556892.6	338811598.8	320335408.3	303	41
YKL152C	0	1433	29	659024584.3	661659462.6	638683597.6	661752055.8	673632592.3	675820361.4	852	33
YGR240C	0	738	60	367161947.3	353555283.5	363340299.2	374619819.7	375478857.6	391326394	399	52
YER178W	0	158	25	87365152.7	91610153.29	90445050.55	89010435.85	89285347.32	86191370.76	95	20
YJR139C	0	389	24	182653150	174783419.6	174173944.7	177334342.5	187522816	191152001.1	208	21
YOR027W	0	346	44	181906335.7	190860583.8	193507235.5	187882346.2	174831259.8	157589443.1	169	40
YJL130C	0	739	93	367035488.4	347278293	358465597.3	422721107.8	423894239.2	376036476.5	341	78
YJR045C	0	670	50	383498157.6	386515465.6	372891196.1	374324441.6	374046668.3	387298136.1	352	52
YDL055C	0	553	27	207732106.5	188377395.1	195945935.3	210611557	212823460.8	225373653.5	218	25
YPL061W	0	2081	44	942156114.8	1102505105	1064351724	1018914936	1000934661	960843143.8	1141	51
YOR341W	0	225	45	77738278.95	71134728.96	71605628.63	70632309.43	69818513.95	68223358.28	84	30
YKL182W	0	980	110	448702339.9	433170539	418145873.6	419844885.6	422943221.3	410753550.8	458	97
YJR016C	0	294	26	123304362.8	129113710.4	120189489.4	122239847.6	123090621.7	135660815.4	140	29
YJL012C	0	192	34	157732863	153103967.2	146032230.7	142914098.6	145928719.8	127798261.5	90	23
YEL031W	0	156	32	54105997.07	52356033.49	55610668.54	55719970	54899689.52	53372661.33	66	25
YGL234W	0	262	36	82334754.21	78748776.17	83613402.22	81471734.2	77819741.91	71561969.27	100	25
YDL223C	0	107	37	16548294.31	27509241.59	42855064.28	41598395.65	39197749.76	29525680.22	33	17
YGR116W	0	114	27	25726083.61	25636799.89	26959983.1	26626588.17	26714800.59	26189529.04	35	16
YLL045C	0	629	29	99395620.29	96817128.36	94232635.09	93968126.68	90226667.72	93719660.04	85	6
YLR175W	0	156	25	115372122.7	108579351.8	103664948	104774346.6	102363113.5	100005477.6	96	20
YLR342W	0	238	45	34062432.57	31437920.85	34702369.48	38017314.91	36655382.29	34619657.21	76	13
