# McManus CJ, May GE, Spealman P, Shteyman A. Ribosome profiling reveals post-transcriptional buffering of divergent gene expression in yeast. Genome Res 2014 Mar;24(3):422-30. PMID: 24318730
# Downloaded from http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52119
Gene	Scer_Mix_RPF_1	Scer_Mix_RPF_2	Spar_Mix_RPF_1	Spar_Mix_RPF_2	Scer_Mix_mRNA_1	Scer_Mix_mRNA_2	Spar_Mix_mRNA_1	Spar_Mix_mRNA_2	Scer_Hyb_RPF_1	Scer_Hyb_RPF_2	Spar_Hyb_RPF_1	Spar_Hyb_RPF_2	Scer_Hyb_mRNA_1	Scer_Hyb_mRNA_2	Spar_Hyb_mRNA_1	Spar_Hyb_mRNA_2
YHR055C	1336	689	335	252	448	399	249	116	643	575	92	85	389	172	88	39
YPR161C	749	458	580	450	1068	1139	671	999	504	505	492	476	729	605	730	652
YOL138C	301	165	301	217	537	612	449	445	205	198	199	244	447	357	306	276
YDR395W	3858	2131	4256	2760	2356	2367	3751	4390	2563	2482	2687	2931	2631	2418	3342	3087
YGR129W	148	78	178	198	210	164	224	222	66	64	151	144	106	88	237	156
YPR165W	3072	2164	2802	2166	2663	2659	2151	2229	1959	2450	1907	2187	2288	1612	2026	1318
YCL050C	3741	2495	4790	3753	2361	2795	2550	3120	3264	3553	3615	4104	3085	1801	2889	1403
YPR098C	596	446	227	208	490	583	224	210	235	288	263	356	254	250	303	306
YPL015C	404	336	223	180	1121	1138	317	408	237	276	205	171	689	1167	443	631
YMR193W	662	424	778	732	709	640	542	660	674	663	785	817	433	277	621	443
YGR053C	50	50	20	16	88	95	74	77	14	35	18	45	30	27	79	34
YER087C-B	1215	944	1035	968	1197	1182	683	966	1177	1382	959	1005	1113	993	893	771
YOR280C	405	277	200	156	433	480	131	200	208	220	141	188	323	243	218	185
YGR097W	776	475	622	417	1115	1221	552	656	485	559	352	288	838	1212	499	903
YKL025C	829	475	809	564	873	1034	681	1064	527	604	580	646	636	656	823	893
YEL004W	186	140	216	283	325	321	408	420	131	105	157	210	155	153	329	286
YKR011C	659	435	312	256	666	734	221	309	313	443	263	362	283	248	319	231
YJL200C	1752	1060	683	447	1641	1658	676	977	2713	2658	1439	1377	2489	2002	1231	1768
YLL027W	556	429	355	276	742	760	378	556	396	504	308	403	741	964	645	723
YDR348C	782	535	523	449	1233	1367	556	772	526	561	416	473	803	638	651	531
YLR045C	866	470	849	598	855	778	768	810	521	617	631	692	494	443	470	360
YPL183C	1178	722	1879	1296	2070	1905	3122	4052	1218	1214	1059	1016	2545	1961	2425	2296
YGR003W	392	236	346	265	849	766	691	961	258	285	209	240	566	581	682	815
YBL095W	110	141	140	138	676	714	571	493	150	173	129	199	803	904	657	919
YGL060W	451	274	365	264	665	675	521	772	307	321	261	291	433	370	489	357
YLL007C	263	172	235	212	345	354	260	216	173	188	186	234	295	198	232	171
YEL009C	251	216	746	600	11291	11243	8770	8721	322	318	229	296	10298	9384	8582	5811
YEL015W	1029	646	1137	766	1760	1745	1430	1516	860	887	793	988	1442	867	1265	952
YOR083W	146	124	122	72	333	343	227	259	117	147	117	178	220	365	197	435
YDR329C	485	343	389	300	846	897	338	453	282	329	368	361	470	436	409	348
YBR252W	1180	807	2060	1438	696	774	1816	1220	949	1037	1392	1383	912	676	1105	827
YDL202W	558	447	956	611	458	473	494	697	656	745	780	892	474	256	551	419
YHR209W	242	134	183	140	569	417	348	305	82	93	92	123	178	192	328	343
YER075C	268	153	553	387	371	412	492	804	269	225	343	269	345	309	345	341
YDL203C	358	213	248	213	684	673	376	496	257	271	254	213	427	688	367	383
YBR050C	24	27	2	6	68	89	6	6	6	3	11	22	24	20	15	20
YMR197C	639	405	480	464	716	700	356	465	341	488	347	479	277	301	387	288
YBL049W	5	5	6	4	30	17	8	3	1	1	3	9	9	3	3	10
YER054C	22	20	25	38	92	98	34	49	10	24	8	14	27	40	44	30
YDR305C	278	218	273	201	363	315	286	257	182	227	192	234	232	179	252	171
YNL201C	571	357	367	346	858	809	606	757	406	411	339	355	531	363	519	344
YCR061W	1108	902	515	339	91	89	105	29	699	630	573	646	104	244	57	115
YHR051W	1224	1039	2496	1890	880	883	1116	1216	1618	1994	1823	2284	1175	701	1135	791
YDL116W	1261	742	1400	1123	1555	1516	2227	2401	810	826	913	1056	1124	858	1880	1267
YPL171C	11	11	166	100	32	49	92	91	2	8	79	116	11	14	85	111
YPR124W	4390	1420	2401	2024	4064	1750	2198	2725	2274	3053	2544	3219	1721	1467	2530	1809
YGL167C	2570	1744	2604	1831	1660	1676	2657	2672	1822	1836	2143	2142	1956	1752	2709	3912
YJL023C	105	54	202	181	414	409	356	447	58	66	159	169	183	132	345	178
YDL165W	706	486	523	469	659	637	498	470	469	480	442	442	567	512	493	409
YIL143C	633	370	1066	762	978	1060	1151	1291	526	552	683	686	651	876	1022	1816
YGR240C	25620	15875	20757	11624	3832	3697	6379	6459	16358	18403	15846	18171	5816	5058	5732	6225
YOR094W	399	260	292	257	355	304	150	158	321	298	230	214	256	150	168	125
YDR167W	375	244	554	396	436	356	503	448	283	270	440	406	394	333	519	435
YBR063C	9	5	5	3	426	365	360	419	4	2	1	4	417	170	340	265
YER052C	3343	1844	2544	1831	2295	2153	1551	1849	1708	1835	1888	2003	1773	2871	1802	2263
YGR178C	2321	1454	2906	1771	1939	2054	1965	2546	1319	1505	1685	2021	1612	1827	2033	1436
YPR187W	946	656	1157	783	1185	1090	1528	1263	891	895	774	876	1451	922	1194	923
YPL118W	940	562	979	807	1142	1129	1063	1146	750	804	792	939	1060	528	1003	719
YPR086W	732	562	631	412	1013	925	662	635	542	486	467	425	722	565	590	505
YOL141W	266	117	522	319	119	126	490	678	262	213	324	271	152	246	262	392
YJL065C	269	225	268	227	522	549	515	445	220	228	209	206	439	439	383	504
YBR122C	546	379	587	494	912	798	414	506	536	591	598	667	946	815	581	521
YBR279W	852	608	1076	668	1006	899	780	937	793	755	726	784	807	424	793	488
YBR271W	301	175	407	258	599	563	611	742	288	276	252	182	582	493	527	405
YER130C	466	284	418	427	1744	1519	588	555	312	351	332	379	829	663	439	447
YBR155W	621	356	1074	652	625	537	1200	1104	629	562	741	667	685	336	846	402
YDR363W	186	106	250	186	462	402	423	487	114	116	193	216	201	139	261	168
YLR443W	227	148	229	200	787	754	493	740	197	152	175	131	691	732	448	541
YPL147W	71	48	60	45	393	385	186	200	36	47	54	59	171	236	188	195
YGR266W	1206	655	1099	711	1075	1202	758	889	728	885	926	961	926	1033	704	932
YAL034C	52	26	11	19	322	262	223	309	29	24	29	31	188	394	211	597
YBR067C	2949	3235	752	758	2233	2890	593	554	707	693	725	671	700	557	777	486
YLR270W	1010	742	1029	826	784	828	547	760	436	607	769	1102	341	353	686	750
YCR095C	279	153	350	282	553	519	489	549	153	216	251	210	332	182	437	240
YPR084W	160	107	156	121	369	310	360	542	122	153	132	164	275	319	323	402
YMR113W	375	241	353	285	595	624	453	522	245	238	287	295	434	286	490	395
YBR184W	80	39	43	44	188	205	94	109	36	72	36	44	101	51	76	65
YGR035C	371	314	277	291	414	462	224	163	561	596	375	443	421	384	225	239
YDL222C	62	33	2	3	147	180	19	45	3	8	14	51	46	88	96	160
YCL008C	334	235	232	181	645	724	303	420	241	291	172	208	474	850	355	773
YEL065W	1543	275	2922	2029	1093	472	2023	2424	861	554	2191	1824	889	857	2182	2822
YMR296C	2392	1700	2411	1703	2070	2096	1739	2604	2087	2126	1824	1867	2088	3434	1685	2988
YNL335W	19	10	5	10	53	72	19	22	6	2	10	4	40	37	28	54
YDR232W	2152	1569	3957	2349	550	591	2167	2579	2505	2577	2903	2676	1086	1764	1885	2448
YGR190C	1	1	1	1	3	3	9	2	1	1	1	1	1	1	3	5
YHR116W	132	79	118	154	87	113	77	85	114	149	146	202	99	130	150	159
YDR313C	100	76	129	91	138	129	246	216	87	92	89	84	163	141	193	211
YFR018C	362	311	352	245	633	612	552	473	225	243	413	402	460	738	527	711
YIL048W	787	492	819	624	780	773	903	926	428	412	583	627	770	740	811	827
YKL007W	1425	851	897	789	1580	1775	907	1014	701	842	718	794	1026	875	1174	891
YDL213C	869	533	1140	783	812	673	1346	992	764	769	820	702	917	385	787	382
YDR443C	372	221	436	294	316	331	308	269	278	249	325	354	246	268	302	223
YNL292W	687	451	1207	854	663	661	1188	1298	663	649	781	810	791	539	1050	707
YOR324C	116	95	94	76	391	435	219	244	58	47	84	66	228	155	271	240
YNL134C	5265	5672	569	298	6338	9954	400	433	957	1383	312	423	1197	1902	379	686
YKL100C	1482	1005	295	300	1962	2304	519	696	628	811	448	607	1112	1603	827	1381
YIL146C	69	37	82	58	461	439	222	269	47	15	88	87	227	381	199	381
YPL021W	1	1	1	2	2	1	2	2	1	1	1	1	0	0	10	5
YIL121W	713	657	23	23	1239	1542	101	122	170	210	28	32	366	656	126	266
YNL218W	223	126	235	187	366	327	210	292	152	199	148	131	301	246	244	174
YDL167C	747	392	897	702	751	702	1120	812	593	525	583	559	925	667	670	571
YBR270C	27	27	32	26	415	517	291	380	14	27	13	21	277	323	243	359
YPL214C	142	115	331	230	696	793	783	683	136	163	145	211	490	615	668	877
YOR228C	138	97	107	69	359	409	170	186	71	85	94	122	186	298	248	375
YGR222W	263	156	195	190	643	665	493	562	117	146	129	170	291	338	526	435
YEL063C	1360	961	1183	917	1134	1197	1186	1628	1094	1017	951	1026	940	1936	1250	2559
YML020W	209	141	120	109	491	548	174	257	145	147	125	153	254	253	186	218
YGR121C	63	47	189	136	267	244	213	288	86	106	109	102	300	597	289	780
YBR222C	1275	883	570	398	875	951	368	493	678	792	702	815	746	1435	666	965
YDL003W	1053	557	1058	746	749	687	893	1384	599	668	711	954	471	274	679	462
YOR323C	4234	2973	2310	1580	3277	3230	1627	1925	2971	3173	1918	2232	3091	2919	1843	1875
YMR183C	1706	1093	1536	1217	1131	1115	1012	1161	1160	1166	1279	1514	884	614	1131	789
YOR274W	283	158	183	156	509	453	253	282	203	202	160	168	271	185	268	170
YER146W	927	725	1003	808	582	546	820	514	733	808	926	944	563	310	566	389
YPL063W	2799	1823	2422	1711	2343	2180	1907	2467	2351	2314	2281	2238	2179	1349	2330	1550
YML075C	1294	802	6652	4647	1233	1250	5121	6875	2634	2561	4477	4223	2831	4121	4198	6421
YDR457W	3700	1902	2457	1443	1203	1075	1536	1241	1829	1947	1709	1718	1088	731	1211	858
YLR273C	65	40	86	77	163	214	139	125	25	50	47	35	100	62	78	71
YDR181C	245	134	115	144	643	552	303	267	142	169	112	138	327	166	297	167
