# Abundance and Variation Measurements for Strains Grown in YEPD and SD
# Newman et al. Nature 2006
# ORF	Name	NA	Ave. YEPD	Error	Ave. SD	Error
orf	gene	avg.yepd.abund	avg.yepd.abund.error	avg.sd.abund	avg.sd.abund.error
YAL001C	TFC3	NA	NA	NA	NA
YAL002W	VPS8	NA	NA	NA	NA
YAL005C	SSA1	32395.0	1125.66	27461.5	1076.07
YAL007C	ERP2	671.5	35.22	410.5	30.45
YAL008W	FUN14	NA	NA	NA	NA
YAL009W	SPO7	NA	NA	NA	NA
YAL010C	MDM10	NA	NA	NA	NA
YAL011W	SWC3	NA	NA	NA	NA
YAL012W	CYS3	1838.0	72.58	1232.5	60.71
YAL014C	SYN8	NA	NA	NA	NA
YAL015C	NTG1	NA	NA	NA	NA
YAL016W	TPD3	772.5	38.56	740.5	42.39
YAL017W	PSK1	NA	NA	52.5	22.51
YAL019W	FUN30	86.5	21.90	62.0	22.69
YAL021C	CCR4	312.0	26.20	NA	NA
YAL023C	PMT2	68.5	21.48	58.9	21.92
YAL024C	LTE1	NA	NA	NA	NA
YAL026C	DRS2	214.5	24.13	113.3	23.10
YAL027W	NA	NA	NA	NA	NA
YAL029C	MYO4	112.0	22.31	118.0	24.38
YAL031C	FUN21	NA	NA	58.5	22.57
YAL032C	PRP45	47.0	21.36	NA	NA
YAL033W	POP5	295.5	25.88	302.8	27.46
YAL034W-A	MTW1	90.0	21.97	NA	NA
YAL035W	FUN12	2539.0	96.09	1874.0	84.64
YAL036C	RBG1	823.5	40.07	414.5	32.22
YAL038W	CDC19	11386.5	399.88	9188.0	365.89
YAL039C	CYC3	49.5	21.23	NA	NA
YAL041W	CDC24	114.5	22.34	131.0	24.09
YAL043C	PTA1	99.0	22.10	84.0	23.06
YAL044C	GCV3	495.5	30.74	2739.6	115.97
YAL047C	SPC72	NA	NA	NA	NA
YAL049C	NA	NA	NA	NA	NA
YAL053W	NA	NA	NA	62.3	21.95
YAL054C	ACS1	NA	NA	NA	NA
YAL055W	PEX22	NA	NA	NA	NA
YAL056W	GPB2	NA	NA	NA	NA
YAL058W	CNE1	NA	NA	NA	NA
YAL059W	ECM1	200.5	23.62	81.0	22.31
YAL060W	BDH1	536.5	31.85	1372.0	65.85
YAL061W	NA	47.5	21.37	129.0	24.31
YAR002C-A	ERP1	1049.0	46.58	538.5	34.41
YAR002W	NUP60	174.0	23.13	140.5	23.45
YAR003W	SWD1	NA	NA	NA	NA
YAR007C	RFA1	NA	NA	375.5	30.33
YAR009C	NA	57.5	21.50	NA	NA
YAR014C	BUD14	185.0	23.56	146.0	24.41
YAR015W	ADE1	1013.0	45.91	2335.0	102.65
YAR019C	CDC15	NA	NA	NA	NA
YAR027W	UIP3	NA	NA	NA	NA
YAR028W	NA	129.5	22.39	NA	NA
YAR044W	NA	121.0	22.44	133.5	24.18
YAR071W	PHO11	55.0	21.46	NA	NA
YBL001C	ECM15	NA	NA	NA	NA
YBL002W	HTB2	6460.0	230.92	5540.3	226.16
YBL003C	HTA2	4086.0	148.45	4040.5	167.86
YBL004W	UTP20	269.0	25.25	103.3	22.76
YBL005W	PDR3	NA	NA	NA	NA
YBL007C	SLA1	585.0	33.14	665.0	40.00
YBL008W	HIR1	NA	NA	NA	NA
YBL010C	NA	NA	NA	NA	NA
YBL011W	SCT1	193.5	23.49	128.8	23.26
YBL013W	FMT1	NA	NA	NA	NA
YBL014C	RRN6	NA	NA	NA	NA
YBL015W	ACH1	47.5	21.36	205.0	26.04
YBL016W	FUS3	367.5	27.49	216.5	26.50
YBL017C	PEP1	305.5	26.05	219.5	25.27
YBL018C	POP8	NA	NA	NA	NA
YBL019W	APN2	NA	NA	NA	NA
YBL021C	HAP3	54.0	21.45	88.6	22.46
YBL022C	PIM1	91.0	21.97	143.3	23.74
YBL023C	MCM2	145.0	22.84	115.0	23.77
YBL024W	NCL1	721.0	37.01	318.0	28.87
YBL025W	RRN10	NA	NA	NA	NA
YBL026W	LSM2	273.0	25.34	296.6	27.38
YBL027W	RPL19B	4134.5	150.42	3397.0	143.96
YBL028C	NA	660.5	34.93	360.3	28.90
YBL029C-A	NA	135.5	22.68	156.8	23.85
YBL029W	NA	NA	NA	NA	NA
YBL031W	SHE1	NA	NA	NA	NA
YBL032W	HEK2	713.5	36.85	539.5	36.14
YBL033C	RIB1	254.0	35.26	313.0	29.18
YBL034C	STU1	NA	NA	NA	NA
YBL035C	POL12	58.0	21.50	NA	NA
YBL036C	NA	261.5	25.09	190.5	25.79
YBL037W	APL3	73.5	21.72	76.0	22.96
YBL038W	MRPL16	NA	NA	95.5	23.60
YBL039C	URA7	1619.5	65.38	NA	NA
YBL040C	ERD2	1911.0	74.61	815.5	43.61
YBL042C	FUI1	532.0	31.36	461.0	31.91
YBL045C	COR1	297.0	25.59	466.0	32.54
YBL046W	NA	118.5	22.40	72.5	23.09
YBL047C	EDE1	955.5	44.06	1017.5	52.39
YBL051C	PIN4	141.5	22.78	112.5	23.72
YBL052C	SAS3	NA	NA	NA	NA
YBL054W	NA	NA	NA	NA	NA
YBL055C	NA	51.5	21.42	NA	NA
YBL056W	PTC3	472.0	30.10	443.5	33.06
YBL057C	PTH2	NA	NA	NA	NA
YBL058W	SHP1	235.0	24.54	252.0	27.39
YBL059C-A	NA	NA	NA	NA	NA
YBL059W	NA	NA	NA	NA	NA
YBL060W	NA	NA	NA	NA	NA
YBL061C	SKT5	184.0	23.33	76.4	22.22
YBL063W	KIP1	NA	NA	NA	NA
YBL064C	PRX1	203.5	23.68	226.5	26.74
YBL067C	UBP13	NA	NA	NA	NA
YBL068W	PRS4	267.5	25.22	137.0	24.56
YBL069W	AST1	53.5	21.44	NA	NA
YBL071W-A	KTI11	825.5	40.12	429.7	31.39
YBL072C	RPS8A	6213.0	221.73	4550.1	186.06
YBL074C	AAR2	NA	NA	NA	NA
YBL075C	SSA3	NA	NA	NA	NA
YBL076C	ILS1	3489.5	128.36	3530.0	148.97
YBL079W	NUP170	160.5	23.11	109.6	22.99
YBL080C	PET112	NA	NA	NA	NA
YBL082C	RHK1	NA	NA	NA	NA
YBL084C	CDC27	50.5	21.41	NA	NA
YBL085W	BOI1	77.5	21.77	50.5	22.53
YBL086C	NA	NA	NA	55.0	22.73
YBL087C	RPL23A	860.5	41.25	509.5	35.28
YBL090W	MRP21	NA	NA	NA	NA
YBL091C	MAP2	109.0	22.25	90.5	23.45
YBL093C	ROX3	46.5	21.35	NA	NA
YBL095W	NA	NA	NA	NA	NA
YBL097W	BRN1	NA	NA	NA	NA
YBL098W	BNA4	NA	NA	NA	NA
YBL099W	ATP1	1465.5	59.90	3176.5	133.98
YBL101C	ECM21	53.5	21.44	91.0	23.21
YBL102W	SFT2	120.0	22.22	191.5	24.57
YBL103C	RTG3	NA	NA	NA	NA
YBL104C	NA	71.5	21.69	53.0	22.51
YBL105C	PKC1	123.0	22.47	122.0	23.79
YBL107C	NA	NA	NA	NA	NA
YBL111C	NA	NA	NA	173.5	24.97
YBR001C	NTH2	NA	NA	NA	NA
YBR002C	RER2	353.5	26.87	356.5	28.82
YBR003W	COQ1	89.0	21.96	131.0	23.30
YBR005W	RCR1	55.5	21.47	NA	NA
YBR006W	UGA2	NA	NA	NA	NA
YBR007C	NA	NA	NA	NA	NA
YBR008C	FLR1	NA	NA	NA	NA
YBR009C	HHF1	2027.0	78.47	2364.0	101.57
YBR010W	HHT1	NA	NA	NA	NA
YBR011C	IPP1	1221.0	52.41	993.0	51.67
YBR014C	NA	NA	NA	NA	NA
YBR015C	MNN2	129.5	22.38	68.5	22.10
YBR016W	NA	68.5	21.66	81.4	22.35
YBR017C	KAP104	277.0	25.43	158.5	24.71
YBR023C	CHS3	201.5	23.88	78.3	22.32
YBR025C	NA	2822.0	105.68	1875.0	85.11
YBR026C	ETR1	NA	NA	NA	NA
YBR028C	NA	187.0	23.60	186.5	25.43
YBR030W	NA	NA	NA	NA	NA
YBR031W	RPL4A	NA	NA	NA	NA
YBR034C	HMT1	539.0	31.88	296.5	27.69
YBR036C	CSG2	462.0	29.52	317.0	27.80
YBR037C	SCO1	NA	NA	71.5	22.09
YBR039W	ATP3	939.0	43.36	1613.5	72.59
YBR041W	FAT1	NA	NA	NA	NA
YBR042C	NA	NA	NA	NA	NA
YBR043C	QDR3	NA	NA	103.5	23.06
YBR046C	ZTA1	106.0	22.20	158.0	24.93
YBR047W	FMP23	NA	NA	NA	NA
YBR048W	RPS11B	NA	NA	NA	NA
YBR049C	REB1	510.5	31.12	466.0	33.43
YBR052C	NA	379.5	27.78	444.0	33.13
YBR054W	YRO2	431.5	28.76	707.5	39.77
YBR055C	PRP6	NA	NA	NA	NA
YBR056W	NA	NA	NA	NA	NA
YBR057C	MUM2	NA	NA	NA	NA
YBR058C	UBP14	NA	NA	NA	NA
YBR058C-A	TSC3	147.0	22.88	176.0	24.26
YBR059C	AKL1	155.0	23.02	176.5	25.13
YBR060C	ORC2	NA	NA	NA	NA
YBR061C	TRM7	111.5	22.29	NA	NA
YBR065C	ECM2	NA	NA	NA	NA
YBR066C	NRG2	NA	NA	NA	NA
YBR067C	TIP1	840.0	40.17	614.0	38.64
