# Peng et al. Journal of Proteome Research 2:43-50 (2003) data
# processed by Greenbaum et al. Genome Biology 2003, Volume 4, Issue 9, Article 117, Supplementary Table 4
# downloaded from http://bioinfo.mbb.yale.edu/expression/prot-v-mrna/4.creating-ref-abund-set.xls
orf	abund
YAL003W	10
YAL005C	62
YAL012W	6
YAL016W	4
YAL017W	5
YAL019W	1
YAL020C	1
YAL021C	2
YAL023C	1
YAL029C	1
YAL030W	1
YAL035W	6
YAL038W	61
YAL043C	1
YAL044C	4
YAL049C	1
YAL054C	14
YAL060W	4
YAL062W	2
YAR002W	2
YAR007C	1
YAR010C	8
YAR015W	7
YAR035W	4
YAR071W	2
YAR073W	6
YAR075W	1
YBL002W	3
YBL003C	4
YBL005W-A	1
YBL007C	7
YBL015W	16
YBL017C	2
YBL022C	9
YBL023C	2
YBL024W	4
YBL027W	9
YBL030C	3
YBL032W	5
YBL036C	6
YBL039C	4
YBL045C	6
YBL047C	9
YBL050W	1
YBL051C	4
YBL056W	2
YBL058W	8
YBL059C-A	1
YBL064C	3
YBL069W	1
YBL072C	7
YBL075C	7
YBL076C	16
YBL085W	2
YBL087C	10
YBL091C	1
YBL092W	3
YBL099W	10
YBL102W	1
YBL105C	2
YBR001C	2
YBR006W	1
YBR009C	5
YBR011C	16
YBR014C	1
YBR015C	3
YBR016W	1
YBR017C	2
YBR025C	18
YBR026C	6
YBR030W	1
YBR031W	29
YBR034C	3
YBR035C	2
YBR039W	5
YBR046C	2
YBR048W	5
YBR052C	1
YBR053C	3
YBR054W	2
YBR056W	1
YBR072W	30
YBR078W	2
YBR079C	16
YBR080C	2
YBR084W	4
YBR085C-A	6
YBR086C	2
YBR087W	2
YBR088C	2
YBR089C-A	2
YBR101C	1
YBR103W	1
YBR106W	1
YBR109C	5
YBR111C	2
YBR112C	7
YBR115C	6
YBR118W	42
YBR121C	19
YBR126C	11
YBR127C	24
YBR130C	1
YBR139W	1
YBR140C	1
YBR142W	2
YBR143C	5
YBR145W	2
YBR149W	6
YBR151W	1
YBR160W	1
YBR169C	6
YBR172C	2
YBR177C	2
YBR179C	1
YBR181C	12
YBR189W	10
YBR191W	4
YBR193C	1
YBR196C	40
YBR200W	1
YBR205W	1
YBR208C	3
YBR214W	4
YBR216C	1
YBR218C	21
YBR221C	4
YBR222C	2
YBR234C	2
YBR244W	1
YBR245C	3
YBR247C	1
YBR248C	5
YBR249C	13
YBR252W	1
YBR260C	1
YBR261C	1
YBR263W	6
YBR273C	1
YBR279W	2
YBR282W	1
YBR286W	10
YCL009C	4
YCL011C	3
YCL017C	3
YCL028W	2
YCL029C	1
YCL030C	24
YCL033C	1
YCL035C	6
YCL037C	5
YCL040W	22
YCL043C	18
YCL050C	9
YCL054W	1
YCL057W	3
YCL067C	1
YCR004C	3
YCR005C	4
YCR009C	1
YCR010C	1
YCR012W	56
YCR020W-B	1
YCR021C	2
YCR028C-A	2
YCR031C	13
YCR036W	2
YCR048W	1
YCR051W	1
YCR052W	1
YCR053W	14
YCR072C	1
YCR077C	2
YCR084C	7
YCR088W	21
YCR093W	3
YDL004W	2
YDL007W	2
YDL012C	1
YDL014W	7
YDL019C	1
YDL021W	5
YDL022W	7
YDL029W	2
YDL040C	9
YDL046W	1
YDL051W	2
YDL053C	1
YDL055C	14
YDL058W	4
YDL061C	1
YDL065C	3
YDL066W	16
YDL075W	7
YDL076C	1
YDL078C	4
YDL081C	1
YDL082W	8
YDL083C	11
YDL084W	15
YDL086W	1
YDL092W	1
YDL095W	1
YDL097C	4
YDL099W	4
YDL100C	2
YDL103C	5
YDL110C	4
YDL113C	1
YDL121C	1
YDL122W	2
YDL124W	15
YDL125C	3
YDL126C	18
YDL130W	2
YDL130W-A	5
YDL131W	10
YDL132W	2
YDL135C	4
YDL136W	7
YDL137W	5
YDL140C	7
YDL141W	1
YDL143W	4
YDL145C	15
YDL147W	2
YDL150W	1
YDL160C	2
YDL161W	1
YDL168W	2
YDL171C	19
YDL174C	3
YDL181W	1
YDL182W	3
YDL185W	31
YDL188C	1
YDL190C	1
YDL192W	1
YDL195W	5
YDL204W	4
YDL205C	1
YDL215C	9
YDL216C	1
YDL222C	1
YDL223C	12
YDL224C	1
YDL225W	1
YDL226C	10
YDL229W	37
YDL235C	1
YDL237W	1
YDL246C	1
YDR001C	5
YDR002W	12
YDR006C	1
YDR012W	3
YDR017C	1
YDR019C	13
YDR021W	2
YDR023W	15
YDR028C	1
YDR032C	4
YDR033W	2
YDR035W	6
YDR037W	12
YDR044W	10
YDR047W	2
YDR050C	27
YDR054C	1
YDR055W	1
YDR060W	2
YDR061W	1
YDR064W	8
YDR067C	1
YDR070C	4
YDR071C	2
YDR074W	11
YDR087C	2
YDR091C	7
YDR092W	2
YDR099W	15
YDR101C	1
YDR104C	1
YDR116C	1
YDR122W	1
YDR127W	20
YDR129C	13
YDR138W	1
YDR143C	2
YDR148C	6
YDR150W	4
YDR153C	2
YDR155C	12
YDR156W	2
YDR158W	10
YDR165W	1
YDR168W	4
YDR169C	1
YDR170C	6
YDR171W	5
YDR172W	8
YDR174W	3
YDR188W	2
YDR189W	3
YDR190C	4
YDR194C	2
YDR208W	1
YDR211W	1
YDR212W	3
YDR213W	1
YDR214W	3
YDR216W	2
YDR226W	13
YDR232W	1
YDR233C	5
YDR234W	2
YDR238C	5
YDR258C	16
YDR262W	1
YDR272W	2
YDR283C	2
YDR292C	1
YDR293C	8
YDR298C	7
YDR299W	1
YDR300C	1
YDR303C	1
YDR304C	3
YDR305C	1
YDR311W	1
YDR320C	2
YDR325W	1
YDR328C	3
YDR341C	5
YDR342C	6
YDR343C	1
YDR346C	3
YDR353W	8
YDR354W	1
YDR358W	2
YDR363W-A	1
YDR368W	4
YDR378C	1
YDR380W	2
YDR381W	2
YDR382W	8
YDR385W	42
YDR388W	4
YDR391C	1
YDR394W	4
YDR395W	2
YDR398W	1
YDR408C	2
YDR418W	8
YDR424C	1
YDR427W	1
YDR429C	1
YDR430C	3
YDR432W	1
YDR447C	11
YDR450W	9
YDR453C	3
YDR454C	8
YDR457W	1
YDR464W	3
YDR471W	8
YDR483W	1
YDR484W	1
YDR487C	2
YDR490C	1
YDR500C	2
YDR502C	11
YDR505C	1
YDR510W	2
YDR513W	7
YDR515W	1
YDR516C	7
YDR517W	1
YDR518W	2
YDR519W	3
YDR529C	1
YDR533C	4
YDR539W	3
YEL011W	6
YEL012W	1
YEL013W	1
YEL022W	1
YEL024W	1
YEL026W	1
YEL027W	1
YEL030W	7
YEL031W	3
YEL034W	7
YEL037C	4
YEL039C	2
