# Washburn et al. Nature Biotechnology 19:242-247 (2001) data
# processed by Greenbaum et al. Genome Biology 2003, Volume 4, Issue 9, Article 117, Supplementary Table 4
# downloaded from http://bioinfo.mbb.yale.edu/expression/prot-v-mrna/4.creating-ref-abund-set.xls
orf	abund
YAL003W	41
YAL012W	57
YAL015C	1
YAL017W	1
YAL019W	1
YAL021C	1
YAL030W	1
YAL031C	1
YAL035W	33
YAL039C	1
YAL041W	3
YAL042W	2
YAL044C	4
YAL049C	1
YAL062W	16
YAR007C	1
YAR027W	2
YAR035W	1
YAR044W	2
YAR075W	6
YBL004W	2
YBL007C	1
YBL015W	5
YBL016W	1
YBL017C	1
YBL022C	3
YBL024W	9
YBL033C	1
YBL039C	5
YBL041W	3
YBL045C	7
YBL047C	5
YBL058W	1
YBL061C	1
YBL068W	12
YBL075C	86
YBL076C	29
YBL079W	2
YBL085W	1
YBL088C	3
YBL091C	1
YBL092W	25
YBL099W	9
YBL101C	1
YBR003W	4
YBR011C	9
YBR018C	1
YBR023C	2
YBR025C	31
YBR026C	2
YBR031W	13
YBR035C	3
YBR038W	3
YBR039W	2
YBR043C	5
YBR052C	4
YBR054W	2
YBR059C	1
YBR068C	4
YBR072W	2
YBR073W	1
YBR078W	3
YBR079C	3
YBR080C	4
YBR082C	1
YBR084C-A	134
YBR084W	18
YBR086C	1
YBR087W	2
YBR092C	1
YBR096W	1
YBR101C	1
YBR103W	1
YBR106W	16
YBR109C	1
YBR115C	1
YBR121C	19
YBR126C	1
YBR127C	53
YBR136W	1
YBR142W	3
YBR143C	5
YBR145W	28
YBR146W	2
YBR149W	19
YBR150C	1
YBR154C	1
YBR169C	33
YBR177C	8
YBR196C	158
YBR198C	4
YBR205W	2
YBR212W	1
YBR214W	7
YBR221C	9
YBR222C	2
YBR227C	3
YBR230C	1
YBR234C	1
YBR242W	3
YBR243C	2
YBR245C	6
YBR246W	1
YBR248C	10
YBR249C	13
YBR260C	1
YBR263W	13
YBR286W	10
YBR288C	1
YBR289W	1
YBR291C	5
YBR296C	1
YCL009C	18
YCL017C	2
YCL018W	2
YCL028W	2
YCL030C	20
YCL037C	13
YCL040W	16
YCL043C	4
YCL045C	1
YCL050C	4
YCL057W	3
YCL059C	1
YCL075W	1
YCR002C	3
YCR011C	3
YCR012W	554
YCR017C	2
YCR034W	1
YCR048W	1
YCR052W	1
YCR053W	29
YCR063W	2
YCR073W-A	12
YCR084C	2
YCR086W	1
YCR088W	9
YCR093W	35
YCR100C	1
YDL004W	2
YDL007W	5
YDL014W	53
YDL015C	7
YDL019C	1
YDL021W	1
YDL022W	3
YDL029W	9
YDL031W	2
YDL042C	1
YDL044C	1
YDL048C	1
YDL051W	2
YDL052C	8
YDL055C	46
YDL060W	3
YDL061C	23
YDL072C	1
YDL078C	18
YDL080C	13
YDL081C	10
YDL084W	7
YDL086W	2
YDL093W	2
YDL095W	9
YDL097C	1
YDL100C	5
YDL102W	2
YDL103C	2
YDL105W	1
YDL111C	1
YDL124W	13
YDL125C	3
YDL126C	38
YDL130W	6
YDL131W	15
YDL137W	3
YDL140C	4
YDL141W	2
YDL143W	3
YDL145C	7
YDL148C	2
YDL150W	1
YDL159W	1
YDL160C	5
YDL171C	6
YDL174C	1
YDL178W	4
YDL181W	2
YDL182W	70
YDL185W	44
YDL192W	7
YDL193W	3
YDL195W	11
YDL198C	5
YDL205C	5
YDL208W	10
YDL213C	3
YDL217C	1
YDL226C	4
YDL229W	3
YDR002W	6
YDR012W	268
YDR023W	37
YDR025W	95
YDR026C	1
YDR032C	12
YDR033W	14
YDR035W	1
YDR037W	74
YDR044W	1
YDR046C	2
YDR049W	1
YDR050C	184
YDR054C	1
YDR064W	89
YDR067C	1
YDR071C	12
YDR074W	3
YDR079W	1
YDR091C	14
YDR097C	3
YDR098C	1
YDR099W	1
YDR101C	6
YDR116C	3
YDR120C	2
YDR127W	35
YDR129C	8
YDR143C	2
YDR144C	2
YDR145W	1
YDR150W	7
YDR155C	8
YDR158W	23
YDR159W	2
YDR161W	2
YDR168W	3
YDR171W	5
YDR172W	7
YDR178W	2
YDR186C	1
YDR188W	5
YDR189W	3
YDR190C	3
YDR194C	4
YDR219C	2
YDR224C	6
YDR225W	1
YDR226W	5
YDR232W	12
YDR233C	12
YDR234W	15
YDR238C	3
YDR243C	2
YDR247W	1
YDR251W	2
YDR258C	4
YDR266C	6
YDR268W	3
YDR279W	1
YDR285W	1
