alias	desc	ms	year	ms.desc	group	orfname	valname	log	strategy	fname	reference	strain background	genotype	growth temperature (C)	medium	density	platform/technique	group.desc	notes
velc	Velculescu 1997	velc	1997	Velculescu 1997	kinzler	orf	sage	NA	SAGE	velculescu97-transcriptome.txt	Victor E. Velculescu, Lin Zhang, Wei Zhou, Jacob Vogelstein, Munira A. Basrai, Douglas E. Bassett Jr., Phil Hieter, Bert Vogelstein, and Kenneth W. Kinzler, "Characterization of the Yeast Transcriptome," Cell 88:243–251 (1997).	Derived from the diploid strain YNN216 (Johnston and Davis 1984; original source: M. Carlson, Columbia University), which is congenic with S288C	YPH499 (MATa ura3–52 lys2–801 ade2–101 leu2–D1 his3–D200 trp1–D63) (Sikorski and Hieter, 1989)	30	YPD supplemented with 6 mM uracil, 4.8 mM adenine, and 24 mM tryptophan	3 x 10^6 cells/ml	SAGE	Kinzler	NA
roth.a	Roth 1998 (a cells)	roth	1998	Roth 1998	church	orf	expr.a	NA	commercial microarray	roth98-transcriptome-raw.txt	Roth et al. Nature Biotechnology 16, 1998	S288C	FY4, a MATa prototroph isogenic to a GAL2+ derivative of S288C	30	YNB + 2% glucose	2-4 x 10^7 cells/ml	Affymetrix yeast antisense A-D array	Church group, Harvard	MATa, glucose cultures
roth.alpha	Roth 1998 (alpha cells)	roth	1998	Roth 1998	church	orf	expr.alpha	NA	commercial microarray	roth98-transcriptome-raw.txt	Roth et al. Nature Biotechnology 16, 1998	S288C	FY4, a MATa prototroph isogenic to a GAL2+ derivative of S288C	30	YNB + 2% glucose	2-4 x 10^7 cells/ml	Affymetrix yeast antisense A-D array	Church group, Harvard	MATalpha, glucose cultures
holstege	Holstege 1998	holstege	1998	Holstege 1998	young	orf	expr	NA	commercial microarray	holstege98-transcriptome.txt	Holstege et al., Cell 1998	S288C	MATa SUC2 gal2 mal mel flo1 flo8-1 hap1 ho bio1 bio6	30	YPD	OD600=0.5 according to step-by-step protocol	Affymetrix GeneChip YE6100 array	Young group, MIT	NA
causton.acid.a	Causton 2001	causton	2001	Causton 2001	young	orf	acid.0min.a	NA	commercial microarray	causton01-transcriptome.txt	Helen C. Causton, Bing Ren, Sang Seok Koh, Christopher T. Harbison, Elenita Kanin, Ezra G. Jennings, Tong Ihn Lee, Heather L. True, Eric S. Lander, and Richard A. Young, "Remodeling of Yeast Genome Expression in Response to Environmental Changes", Molecular Biology of the Cell (12):323–337, 2001	S288C	MATa SUC2 gal2 mal mel flo1 flo8-1 hap1 ho bio1 bio6	30	YPD	OD600=0.5 (1.5 x 10^7 cell/ml)	Affymetrix YE6100 GeneChip, Affymetrix GeneChip Yeast Genome S98 array	Young group, MIT	acid 0min control
causton.acid.b	Causton 2001	causton	2001	Causton 2001	young	orf	acid.0min.b	NA	commercial microarray	causton01-transcriptome.txt	Helen C. Causton, Bing Ren, Sang Seok Koh, Christopher T. Harbison, Elenita Kanin, Ezra G. Jennings, Tong Ihn Lee, Heather L. True, Eric S. Lander, and Richard A. Young, "Remodeling of Yeast Genome Expression in Response to Environmental Changes", Molecular Biology of the Cell (12):323–337, 2001	S288C	MATa SUC2 gal2 mal mel flo1 flo8-1 hap1 ho bio1 bio6	30	YPD	OD600=0.5 (1.5 x 10^7 cell/ml)	Affymetrix YE6100 GeneChip, Affymetrix GeneChip Yeast Genome S98 array	Young group, MIT	acid 0min control
causton.peroxide.a	Causton 2001	causton	2001	Causton 2001	young	orf	peroxide.0min.a	NA	commercial microarray	causton01-transcriptome.txt	Helen C. Causton, Bing Ren, Sang Seok Koh, Christopher T. Harbison, Elenita Kanin, Ezra G. Jennings, Tong Ihn Lee, Heather L. True, Eric S. Lander, and Richard A. Young, "Remodeling of Yeast Genome Expression in Response to Environmental Changes", Molecular Biology of the Cell (12):323–337, 2001	S288C	MATa SUC2 gal2 mal mel flo1 flo8-1 hap1 ho bio1 bio6	30	YPD	OD600=0.7 (2.1 x 10^7 cell/ml)	Affymetrix YE6100 GeneChip, Affymetrix GeneChip Yeast Genome S98 array	Young group, MIT	peroxide 0min control
causton.peroxide.b	Causton 2001	causton	2001	Causton 2001	young	orf	peroxide.0min.b	NA	commercial microarray	causton01-transcriptome.txt	Helen C. Causton, Bing Ren, Sang Seok Koh, Christopher T. Harbison, Elenita Kanin, Ezra G. Jennings, Tong Ihn Lee, Heather L. True, Eric S. Lander, and Richard A. Young, "Remodeling of Yeast Genome Expression in Response to Environmental Changes", Molecular Biology of the Cell (12):323–337, 2001	S288C	MATa SUC2 gal2 mal mel flo1 flo8-1 hap1 ho bio1 bio6	30	YPD	OD600=0.7 (2.1 x 10^7 cell/ml)	Affymetrix YE6100 GeneChip, Affymetrix GeneChip Yeast Genome S98 array	Young group, MIT	peroxide 0min control
causton.nacl	Causton 2001	causton	2001	Causton 2001	young	orf	nacl.0min	NA	commercial microarray	causton01-transcriptome.txt	Helen C. Causton, Bing Ren, Sang Seok Koh, Christopher T. Harbison, Elenita Kanin, Ezra G. Jennings, Tong Ihn Lee, Heather L. True, Eric S. Lander, and Richard A. Young, "Remodeling of Yeast Genome Expression in Response to Environmental Changes", Molecular Biology of the Cell (12):323–337, 2001	S288C	MATa SUC2 gal2 mal mel flo1 flo8-1 hap1 ho bio1 bio6	30	YPD	OD600=0.6–0.8 (1.8–2.4 x 10^7 cell/ml)	Affymetrix YE6100 GeneChip, Affymetrix GeneChip Yeast Genome S98 array	Young group, MIT	NaCL 0min control
dudley.3a	Dudley 2002 (3a)	dudley	2002	Dudley 2002	church	orf	glu_oligo.Slide3A	NA	custom microarray	dudley02-avg-transcriptome.txt	Aimee M. Dudley, John Aach, Martin A. Steffen, and George M. Church, "Measuring absolute expression with microarrays with a calibrated reference sample and an extended signal intensity range", PNAS 99(11): 7554–7559 (2002).	S288C	FY4, a MATa prototroph isogenic to a GAL2+ derivative of S288C	30	YPD	1-2e7 cells/ml	custom array	Church group, Harvard	average of four glucose conventional-oligo-spiked arrays (Cy5 Glu, Cy3 universal oligo, 4 replicates: Slide3A-D); downloaded from ftp://arep.med.harvard.edu/pub/masliner/data/normalized_data/
