id	Protein IDs	Majority Protein IDs	Protein Descriptions	Proteins	Peptides	Razor + unique Peptides	Unique Peptides	Peptides run01	Peptides run02	Peptides run03	Peptides run04	Peptides run05	Peptides run06	Razor + unique Peptides run01	Razor + unique Peptides run02	Razor + unique Peptides run03	Razor + unique Peptides run04	Razor + unique Peptides run05	Razor + unique Peptides run06	Unique Peptides run01	Unique Peptides run02	Unique Peptides run03	Unique Peptides run04	Unique Peptides run05	Unique Peptides run06	Sequence Coverage [%]	Mol. Weight [kDa]	Sequence Length	PEP	Sequence Coverage run01 [%]	Sequence Coverage run02 [%]	Sequence Coverage run03 [%]	Sequence Coverage run04 [%]	Sequence Coverage run05 [%]	Sequence Coverage run06 [%]	Intensity	Intensity run01	Intensity run02	Intensity run03	Intensity run04	Intensity run05	Intensity run06
16	Q0045	Q0045	>Q0045 COX1 SGDID:S000007260, Chr Mito from 13818-13986,16435-16470,18954-18991,20508-20984,21995-22246,23612-23746,25318-25342,26229-26701, Verified ORF, Subunit I of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane 	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4.3	58.797	534	4.27E-226	4.3	4.3	4.3	4.3	4.3	4.3	3453400000	562800000	313360000	947020000	359510000	579270000	691460000
17	Q0050	Q0050	>Q0050 AI1 SGDID:S000007261, Chr Mito from 13818-16322, Verified ORF, Reverse transcriptase required for splicing of the COX1 pre-mRNA, encoded by a mobile group II intron within the mitochondrial COX1 gene	1	3	3	3	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	5.3	96.078	834	1.24E-05	2.8	2.8	2.8	1.1	4.2	2.8	212330000	28901000	27948000	42207000	14067000	32957000	66249000
18	Q0130	Q0130	>Q0130 OLI1 SGDID:S000007274, Chr Mito from 46723-46953, Verified ORF, F0-ATP synthase subunit c (ATPase-associated proteolipid), encoded on the mitochondrial genome; mutation confers oligomycin resistance; expression is specifically dependent on the nucl	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10.5	7.7593	76	0.010905	10.5	10.5	10.5	10.5	10.5	10.5	275990000	44131000	44990000	28019000	39784000	41737000	77324000
19	Q0140	Q0140	>Q0140 VAR1 SGDID:S000007275, Chr Mito from 48901-50097, Verified ORF, Mitochondrial ribosomal protein of the small subunit, mitochondrially-encoded; polymorphic in different strains due to variation in number of AAT (asparagine) codons; translated near t	1	13	13	13	12	11	12	12	12	11	12	11	12	12	12	11	12	11	12	12	12	11	40.7	47.123	398	3.35E-219	37.4	35.7	36.2	37.4	37.4	32.7	9605500000	1400300000	1613400000	1519500000	1220600000	2331200000	1520500000
20	Q0250	Q0250	>Q0250 COX2 SGDID:S000007281, Chr Mito from 73758-74513, Verified ORF, Subunit II of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits	1	5	5	5	5	4	4	5	5	5	5	4	4	5	5	5	5	4	4	5	5	5	27.9	28.567	251	1.62E-33	27.9	24.3	12.4	27.9	27.9	27.9	11069000000	1567600000	1731100000	1818600000	1344000000	2572000000	2035600000
21	R0020C	R0020C	>R0020C REP1 SGDID:S000029675, 2-micron plasmid from 3008-1887, reverse complement, Verified ORF, Master regulator that acts in concert with Rep2p to regulate transcript levels of the FLP1 gene that promotes plasmid copy amplification; autoregulates level	1	12	12	12	12	10	11	11	12	12	12	10	11	11	12	12	12	10	11	11	12	12	46.6	43.231	373	7.03E-43	46.6	36.7	37.8	44	46.6	46.6	11782000000	1331800000	2407500000	2031000000	1156200000	2360900000	2494600000
22	R0040C	R0040C	>R0040C REP2 SGDID:S000029676, 2-micron plasmid from 6198-5308, reverse complement, Verified ORF, Master regulator that acts in concert with Rep1p to regulate transcript levels of the FLP1 gene that promotes plasmid copy amplification; also autoregulates 	1	6	6	6	6	4	6	5	5	5	6	4	6	5	5	5	6	4	6	5	5	5	25.7	33.196	296	1.65E-131	25.7	18.9	25.7	21.6	21.6	23	6948800000	757200000	1290100000	1055400000	699670000	1343800000	1802700000
80	YAL001C	YAL001C	>YAL001C TFC3 SGDID:S000000001, Chr I from 151006-147594,151166-151097, reverse complement, Verified ORF, Largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauB domain of TFIIIC that binds DNA 	1	10	10	10	5	7	9	9	5	7	5	7	9	9	5	7	5	7	9	9	5	7	11.6	132.11	1160	2.20E-57	5.3	7.6	10.5	10.5	5.3	8.1	7237100000	1173500000	2169000000	717320000	560440000	1071400000	1545500000
81	YAL003W	YAL003W	>YAL003W EFB1 SGDID:S000000003, Chr I from 142174-142253,142620-143160, Verified ORF, Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilita	1	16	16	16	15	16	16	16	14	16	15	16	16	16	14	16	15	16	16	16	14	16	75.2	22.627	206	0	75.2	75.2	75.2	75.2	64.1	75.2	88226000000	15396000000	11805000000	12948000000	15090000000	17549000000	15439000000
82	YAL005C	YAL005C	>YAL005C SSA1 SGDID:S000000004, Chr I from 141431-139503, reverse complement, Verified ORF, ATPase involved in protein folding and nuclear localization signal (NLS)-directed nuclear transport; member of heat shock protein 70 (HSP70) family; forms a chaper	1	42	42	11	38	40	38	38	37	38	38	40	38	38	37	38	10	11	10	11	9	10	67.6	69.656	642	0	65.3	67	65.4	65.4	65.9	65.9	2.4585E+11	44162000000	46691000000	26010000000	37164000000	45300000000	46526000000
