# Nagalakshmi et al. Science 6 June 2008 DOI: 10.1126/science.1158441
# Table S4: All ORF annotations by RNA SEQ
orf	transcript.level.log2
YAL069W	NA
YAL068W-A	NA
YAL068C	NA
YAL067W-A	NA
YAL067C	1.584962501
YAL066W	0
YAL065C	0
YAL064W-B	NA
YAL064C-A	NA
YAL064W	NA
YAL063C-A	0
YAL063C	NA
YAL062W	3.321928095
YAL061W	5.882643049
YAL060W	6.339850003
YAL059W	4.614709844
YAL059C-A	NA
YAL058W	NA
YAL056C-A	NA
YAL056W	4.169925001
YAL055W	4.087462841
YAL054C	4.321928095
YAL053W	5.357552005
YAL051W	1.584962501
YAL049C	5.820178962
YAL047W-A	NA
YAL048C	3.459431619
YAL047C	NA
YAL046C	5.442943496
YAL044W-A	NA
YAL045C	NA
YAL044C	NA
YAL043C	3.169925001
YAL042W	6.794415866
YAL042C-A	NA
YAL041W	5.022367813
YAL040C	4.554588852
YAL039C	5.357552005
YAL038W	NA
YAL037C-B	NA
YAL037C-A	11.39954497
YAL037W	1
YAL036C	5.820178962
YAL035W	NA
YAL034W-A	3.700439718
YAL034C-B	NA
YAL034C	3.392317423
YAL033W	4.285402219
YAL032C	2.321928095
YAL031W-A	NA
YAL031C	NA
YAL030W	6.400879436
YAL029C	5.22881869
YAL028W	4.087462841
YAL027W	NA
YAL026C-A	NA
YAL026C	NA
YAL025C	5.22881869
YAL024C	2.169925001
YAL023C	6.936637939
YAL022C	5.491853096
YAL021C	3.700439718
YAL019W-A	NA
YAL020C	3
YAL019W	4.459431619
YAL018C	0
YAL017W	NA
YAL016C-B	NA
YAL016W	5.62935662
YAL016C-A	0
YAL015C	4.584962501
YAL014C	6.434628228
YAL013W	5.375039431
YAL012W	7.888743249
YAL011W	3.64385619
YAL010C	3.169925001
YAL009W	4.285402219
YAL008W	5
YAL007C	6.06608919
YAL004W	NA
YAL005C	10.17990909
YAL003W	9.485829309
YAL002W	NA
YAL001C	NA
YAR002W	4.426264755
YAR002C-A	5.022367813
YAR003W	3.64385619
YAR007C	6.6794801
YAR008W	2
YAR014C	5.50779464
YAR015W	7.113742166
YAR018C	5.741466986
YAR019W-A	0
YAR019C	3.95419631
YAR020C	NA
YAR023C	2.584962501
YAR027W	4.832890014
YAR028W	4.321928095
YAR029W	NA
YAR031W	NA
YAR030C	NA
YAR033W	NA
YAR035W	NA
YAR035C-A	NA
YAR042W	3.64385619
YAR047C	2
YAR050W	NA
YAR053W	NA
YAR060C	NA
YAR064W	NA
YAR066W	NA
YAR068W	NA
YAR069C	NA
YAR070C	NA
YAR071W	NA
YAR073W	NA
YAR075W	0
YBL113W-A	NA
YBL113C	NA
YBL112C	NA
YBL111C	NA
YBL109W	NA
YBL108C-A	NA
YBL108W	0
YBL107W-A	NA
YBL107C	5.727920455
YBL106C	2.700439718
YBL105C	4.129283017
YBL104C	3.169925001
YBL103C	4.087462841
YBL102W	5.62935662
YBL101C	4.357552005
YBL100W-C	1
YBL099W	8.319672121
YBL100C	NA
YBL098W	3
YBL097W	NA
YBL095W	NA
YBL096C	NA
YBL094C	NA
YBL093C	5.686500527
YBL092W	10.05392588
YBL091C-A	5.392317423
YBL091C	7.62935662
YBL090W	5
YBL089W	NA
YBL088C	NA
YBL087C	9.127994321
YBL086C	4.357552005
YBL085W	4.285402219
YBL084C	3.392317423
YBL083C	NA
YBL082C	NA
YBL081W	NA
YBL080C	NA
YBL079W	2.700439718
YBL078C	5.087462841
YBL077W	NA
YBL076C	NA
YBL075C	3.459431619
YBL073W	0
YBL074C	0
YBL072C	NA
YBL071C-B	NA
YBL071W-A	NA
YBL071C	NA
YBL069W	NA
YBL070C	NA
YBL068W-A	NA
YBL068W	5.129283017
YBL067C	4.044394119
YBL065W	NA
YBL066C	0
YBL064C	NA
YBL063W	NA
YBL062W	NA
YBL061C	NA
YBL060W	4.832890014
YBL059C-A	5.303780748
YBL059W	4.754887502
YBL058W	NA
YBL057C	NA
YBL056W	6.900866808
YBL055C	5.303780748
YBL054W	2.906890596
YBL053W	NA
YBL052C	NA
YBL051C	5.768184325
YBL050W	6.22881869
YBL049W	NA
YBL048W	1.584962501
YBL047C	6.06608919
YBL046W	4.321928095
YBL045C	6.118941073
YBL044W	1.807354922
YBL043W	2
YBL042C	4.459431619
YBL041W	6.882643049
YBL040C	6.22881869
YBL039W-B	3.807354922
YBL039C-A	NA
YBL039C	4.807354922
YBL038W	5.108524457
YBL037W	3.321928095
YBL036C	4.857980995
YBL035C	3.754887502
YBL034C	3.321928095
YBL033C	4.459431619
YBL032W	6.62935662
YBL031W	2.906890596
YBL030C	7.647458426
YBL029C-A	6.383704292
YBL029W	3.169925001
YBL028C	6.665335917
