#Supplemental Table 3: Protein identification using 15 cm columns, 3 µm C18 beads and 140 min gradients.
#Protein IDs	Gene name	Uniprot	Peptides	Razor Peptides	Unique Peptides	Sequence Coverage [%]	Mol. Weight [kDa]	PEP	Intensity Exp1	Intensity Exp2	Intensity Exp3
orf	protein.name	gene.name	uniprot	peptides	razor.peptides	unique.peptides	sequence.coverage	mw	pep	intensity.exp1	intensity.exp2	intensity.exp3
YDL040C	Amino-terminal, alpha-amino, acetyltransferase 1;N-terminal acetyltransferase A complex subunit NAT1	AAA1;D2720;NAT1;YDL040C	P12945	5	5	5	5.5	98.9	1.7027E-16	305990	216950	233460
YBL030C	Adenine nucleotide translocator 2;ADP,ATP carrier protein 2;ADP/ATP translocase 2	AAC2;PET9;YBL030C;YBL0421	P18239	6	6	6	19.5	34.4	8.0825E-111	2304100	3126800	1604000
YNL141W	Adenosine aminohydrolase;Adenosine deaminase	AAH1;N1208;N1825;YNL141W	P53909	2	2	2	6.1	39.6	2.6961E-16	214740	93179	0
YHR047C	Aap1p;Alanine/arginine aminopeptidase	AAP1;YHR047C	D3DKZ5;P37898	5	3	3	7.1	97.7	6.7177E-34	68117	195250	219240
YCR084C	Flocculation suppressor protein;General transcriptional corepressor TUP1;Glucose repression regulatory protein TUP1;Repressor AER2	AAR1;AER2;AMM1;CYC9;FLK1;SFL2;TUP1;UMR7;YCR084C;YCR84C	P16649;P17995;P18323	3	3	3	5.2	78.3	1.3857E-32	132030	0	1101400
YKR026C	eIF-2B GDP-GTP exchange factor subunit alpha;GCD complex subunit GCN3;Guanine nucleotide exchange factor subunit GCN3;Transcriptional activator GCN3;Translation initiation factor eIF-2B subunit alpha	AAS2;GCN3;TIF221;YKR026C	P14741	3	3	3	14.1	34.0	2.7762E-07	51351	201640	0
YLR027C	Aspartate aminotransferase, cytoplasmic;Transaminase A	AAT2;ASP5;L1746;YLR027C	P23542	9	9	9	27.5	46.1	6.0714E-109	2365000	4003100	4497200
YMR072W	ARS-binding factor 2, mitochondrial	ABF2;HIM1;YM9916.11;YMR072W	Q02486;Q712M5	7	7	7	34.4	21.6	4.7274E-25	1161800	2347900	2102100
YCR088W	Actin-binding protein	ABP1;YCR088W;YCR88W	P15891	9	9	9	23.8	65.6	2.5429E-73	2764100	3340500	2584600
YNR054C	18S rRNA factor 2;Pre-rRNA-processing protein ESF2	ABT1;ESF2;N3491;YNR054C	P53743	1	1	1	3.2	36.4	1.7045E-17	0	56521	121080
YFL039C;CON__P60712	Actin	ABY1;act1;ACT1;END7;YFL039C	P02579;P60010;Q9P3X6;Q9P3X7	6	6	6	26.9	41.7	4.1249E-206	24730000	22347000	16683000
YGR037C	Acyl-CoA-binding protein	ACB;ACB1;YGR037C	P31787;Q45U46	6	6	6	66.7	10.1	4.3142E-70	16600000	21690000	15490000
YNR016C;YMR207C	Acetyl-CoA carboxylase;Acetyl-CoA carboxylase, mitochondrial;Biotin carboxylase	ACC1;FAS3;HFA1;N3175;YM8261.01C;YM8325.08C;YMR207C;YNR016C	O42823;P32874;Q00955	29	29	29	16	250.4	1.1142E-223	7670500	7807500	10217000
YLR304C	Aconitate hydratase, mitochondrial;Citrate hydro-lyase	ACO1;GLU1;L8003.22;YLR304C	P19414	11	11	11	13.6	85.4	5.5207E-30	10847000	3556200	4449300
YJL200C	Citrate hydro-lyase;Probable aconitate hydratase 2	ACO2;J0327;YJL200C	P39533	7	7	7	11.7	86.6	3.9429E-45	795580	847550	551510
YKL192C	Acyl carrier protein, mitochondrial;NADH-ubiquinone oxidoreductase 9.6 kDa subunit	ACP1;YKL192C	P32463	3	3	3	35.2	13.9	1.8861E-07	3862600	1455800	109750
YLR153C	Acetate--CoA ligase 2;Acetyl-coenzyme A synthetase 2;Acyl-activating enzyme 2	ACS2;L9634.10;YLR153C	P52910	12	12	12	30	75.5	3.9485E-80	11444000	18832000	13814000
YDL029W	Actin-like protein ARP2;Actin-related protein 2	ACT2;ARP2;D2778;YDL029W	P32381	4	4	4	14.1	44.1	4.2679E-09	198580	145730	246880
YJR065C	Actin-like protein ARP3;Actin-related protein 3	ACT4;ARP3;J1760;YJR065C	P47117	4	4	4	13.4	49.5	3.1864E-24	63012	431310	116000
YOL086C;YMR303C	Alcohol dehydrogenase 1;Alcohol dehydrogenase 2;Alcohol dehydrogenase I;Alcohol dehydrogenase II;YADH-1;YADH-2	ADC1;ADH1;ADH2;ADR2;O0947;YM9952.05C;YMR303C;YOL086C	P00330;P00331	14	14	13	54.6	36.8	5.6447E-225	302140000	259000000	175980000
YAR015W	Phosphoribosylaminoimidazole-succinocarboxamide synthase;SAICAR synthetase	ADE1;YAR015W	P27616	6	6	6	21.2	34.6	3.3361E-35	976520	551200	197820
YNL220W	Adenylosuccinate synthetase;IMP--aspartate ligase	ADE12;N1290;YNL220W	P80210	10	10	10	30.7	48.3	3.842E-95	5374400	1860200	2241900
