# From Lipson et al. Nature Biotech (2009) supplementary table 1
# downloaded from http://www.nature.com.ezp-prod1.hul.harvard.edu/nbt/journal/v27/n7/extref/nbt.1551-S2.xls on 8/28/2009
orf	gene	chan7	chan8	chan9	chan10	chan11	chan12	chan.avg	stdev	inter.channel.cv	inter.prep.cv	microarray	nagalakshmi
YAL002W	VPS8	41.7	42.9	39.8	40.6	42.3	41.7	41.5	1.13	0.038	0.063	474	NA
YAL004W	YAL004W	0.2	0.1	0.3	0.4	0.2	0.2	0.23	0.1	0.500	1.000	NA	NA
YAL005C	SSA1	929.1	932.7	944.8	879.8	866.3	900.9	908.93	31.59	0.009	0.031	7052	1160
YAL007C	ERP2	150	139.7	146.2	152.1	150.4	145.7	147.35	4.5	0.036	0.017	1304	67
YAL008W	FUN14	82	83.1	86.6	82.4	79	85.3	83.07	2.67	0.029	0.030	323	32
YAL009W	SPO7	31.5	32.8	30.9	31.9	30.5	30.6	31.37	0.88	0.031	0.019	217	19.5
YAL010C	MDM10	22.7	23.8	22.4	21.4	21	20.9	22.03	1.14	0.032	0.047	324	9
YAL011W	SWC3	38.5	38.5	38	42.5	40.9	44	40.4	2.47	0.008	0.052	421	12.5
YAL012W	CYS3	542.4	537.6	544.9	539.2	522.4	536.7	537.2	7.87	0.007	0.007	4727	237
YAL013W	DEP1	48.7	50.4	49.3	47.5	47.5	50.1	48.92	1.25	0.017	0.013	1595	41.5
YAL014C	SYN8	65.8	71.3	73.3	73.2	71	75.6	71.7	3.33	0.055	0.066	810	86.5
YAL015C	NTG1	74.2	69.8	69.2	71.7	75.5	69.4	71.63	2.68	0.038	0.028	324	24
YAL016C-A	YAL016C-A	1.5	0.9	0.6	1.4	1.6	1.2	1.2	0.38	0.458	0.204	NA	1
YAL016C-B	YAL016C-B	0.2	0.3	0.1	0.3	0.6	0.5	0.33	0.19	0.500	0.247	14	NA
YAL016W	TPD3	104.9	107.6	109.2	115.7	108.8	117.8	110.67	4.99	0.020	0.064	3076	49.5
YAL017W	PSK1	38.4	40.3	41	40.6	41.5	40.7	40.42	1.07	0.034	0.089	706	NA
YAL018C	YAL018C	1.9	1.9	2.2	1.6	1.6	1.5	1.78	0.26	0.087	0.088	25	1
YAL019W	FUN30	55.8	56	52.5	59.6	54.4	59.3	56.27	2.77	0.036	0.063	755	22
YAL019W-A	YAL019W-A	0	0.1	0.3	0.2	0.3	0.1	0.17	0.12	1.146	1.732	NA	NA
YAL020C	ATS1	21.4	23.3	24.7	22	22.2	23	22.77	1.17	0.072	0.059	367	8
YAL021C	CCR4	48.3	47	50.8	43.5	46.1	47.5	47.2	2.42	0.040	0.082	762	13
YAL022C	FUN26	37.7	34.2	33.5	37.4	36.8	37.9	36.25	1.91	0.064	0.071	915	45
YAL023C	PMT2	189.6	184.2	192.1	183.9	184.6	180.7	185.85	4.19	0.021	0.016	2571	122.5
YAL024C	LTE1	23.1	23.2	25.8	27.2	25.7	24.1	24.85	1.64	0.064	0.093	314	4.5
YAL025C	MAK16	146.8	151.6	154.4	140	146.4	150.9	148.35	5.09	0.025	0.030	684	37.5
YAL026C	DRS2	101.2	95.5	102.3	104.1	104.4	104.7	102.03	3.48	0.037	0.084	957	NA
YAL026C-A	YAL026C-A	3.5	3	4.9	5.7	5.2	3.2	4.25	1.15	0.259	0.239	NA	NA
YAL027W	YAL027W	26.5	28.1	28	29.5	24.3	26.4	27.13	1.8	0.033	0.054	186	NA
YAL028W	FRT2	27.5	30.1	29.3	30.9	33.1	28.9	29.97	1.92	0.046	0.061	773	17
YAL029C	MYO4	77	78.5	75.3	76.6	74.9	76.9	76.53	1.3	0.021	0.047	1879	37.5
YAL031C	GIP4	31.3	27.1	30.6	30.7	29.1	32.6	30.23	1.91	0.076	0.034	584	NA
YAL031W-A	YAL031W-A	0.1	0.4	0.5	0.8	0.5	0.4	0.45	0.23	0.624	0.810	NA	NA
YAL032C	PRP45	28.7	27.5	28.8	27.8	29.7	29.5	28.67	0.88	0.026	0.034	346	5
YAL033W	POP5	34.4	35.5	32.8	35.2	34.6	34.8	34.55	0.95	0.040	0.074	254	19.5
YAL034C	FUN19	25.5	23	25.7	26.5	22.9	23.8	24.57	1.53	0.061	0.108	461	10.5
YAL034C-B	YAL034C-B	0.2	0.2	0.1	0.3	0.2	0.3	0.22	0.08	0.346	0.500	NA	NA
YAL034W-A	MTW1	23.7	24.8	24.1	20.9	23	22.9	23.23	1.34	0.023	0.071	136	13
