#An estimate of relative contributions of transcriptional and translational regulation by absolute protein expression profiling													
#Peng Lu, Christine Vogel, Rong Wang, Xin Yao, Edward M. Marcotte													
#Supplemental Dataset S1.  APEX yeast protein abundances for rich and minimal media, with comparisons to other datasets													
#													
#Other protein and mRNA datasets are from the following sources:													
#Name	Type	Reference 											
#SAGE	mRNA	Velculescu, Cell 1997											
#HDA	mRNA	Holstege, Cell 1998											
#Wang	mRNA	Wang, PNAS 2002											
#GFP-YPD	protein	Newman, Nature 2006											
#& GFP-YMD													
#Western	protein	Ghaemmaghami, Nature 2003											
#2Dgel	protein	Futcher, Mol Cell Biol 1999											
#													
#Annotation and APEX normalization terms								YPD			YMD		
#YORF	Name	NCBI gi	NCBI gi2	SGD ID	ORF status	# potential tryptic peptides with up to 2 missed cleavages, <7.5 KDa, >3 aa long	O_i (Integrated probability of peptide observations)	n_i (# observed peptides)	p_i (probability of correct protein identification)	APEX	n_i (# observed peptides)	p_i (probability of correct protein identification)	APEX
orf	name	ncbi.gi	ncbi.gi2	sgd	orf.status	num.tryptic.peptides	o.i	n.i.ypd	p.i.ypd	apex.ypd	n.i.ymd	p.i.ymd	apex.ymd
Q0010	Q0010	6381997	NA	S000007257	ORF|Dubious	6	0.95	NA	NA	NA	NA	NA	NA
Q0017	Q0017	6226517	NA	S000007258	ORF|Dubious	15	4.48	NA	NA	NA	NA	NA	NA
Q0032	Q0032	6381998	NA	S000007259	ORF|Dubious	17	4.04	NA	NA	NA	NA	NA	NA
Q0045	COX1	6226519	NA	S000007260	ORF|Verified	32	7.58	NA	NA	NA	NA	NA	NA
Q0050	AI1	6226520	NA	S000007261	ORF|Verified	332	74.83	NA	NA	NA	NA	NA	NA
Q0055	AI2	6226521	NA	S000007262	ORF|Verified	316	75.14	NA	NA	NA	NA	NA	NA
Q0060	AI3	6226522	NA	S000007263	ORF|Verified	123	31.63	1	0.35	1029	NA	NA	NA
Q0065	AI4	6226523	NA	S000007264	ORF|Verified	146	32.27	NA	NA	NA	NA	NA	NA
Q0070	AI5_ALPHA	6226524	NA	S000007265	ORF|Verified	133	26.37	NA	NA	NA	NA	NA	NA
Q0075	AI5_BETA	6381999	NA	S000007266	ORF|Uncharacterized	127	34.22	NA	NA	NA	NA	NA	NA
Q0080	AAP1	6226526	NA	S000007267	ORF|Verified	8	1.65	NA	NA	NA	NA	NA	NA
Q0085	ATP6	6226527	NA	S000007268	ORF|Verified	18	3.77	NA	NA	NA	NA	NA	NA
Q0092	Q0092	6382000	NA	S000007269	ORF|Dubious	12	3.28	NA	NA	NA	NA	NA	NA
Q0105	COB	6226529	NA	S000007270	ORF|Verified	35	6.93	NA	NA	NA	NA	NA	NA
Q0110	BI2	6226530	NA	S000007271	ORF|Verified	113	23.14	NA	NA	NA	NA	NA	NA
Q0115	BI3	6226531	NA	S000007272	ORF|Verified	143	31.56	NA	NA	NA	2	0.22	1143
Q0120	BI4	6226532	NA	S000007273	ORF|Verified	186	42.18	NA	NA	NA	NA	NA	NA
Q0130	OLI1	6226533	NA	S000007274	ORF|Verified	9	2.08	NA	NA	NA	NA	NA	NA
Q0140	VAR1	6226534	NA	S000007275	ORF|Verified	114	28.75	NA	NA	NA	NA	NA	NA
Q0142	Q0142	6226535	NA	S000007276	ORF|Dubious	8	2.49	NA	NA	NA	NA	NA	NA
Q0143	Q0143	6226536	NA	S000007277	ORF|Dubious	6	1.65	NA	NA	NA	NA	NA	NA
Q0144	Q0144	6382001	NA	S000007278	ORF|Dubious	10	2.26	NA	NA	NA	NA	NA	NA
Q0160	SCEI	6226538	NA	S000007279	ORF|Verified	73	17.34	NA	NA	NA	NA	NA	NA
Q0182	Q0182	6382002	NA	S000007280	ORF|Dubious	37	11.13	NA	NA	NA	NA	NA	NA
Q0250	COX2	6226540	NA	S000007281	ORF|Verified	33	8.42	NA	NA	NA	1	0.7	6817
Q0255	Q0255	6226541	NA	S000007282	ORF|Uncharacterized	183	46.87	NA	NA	NA	NA	NA	NA
Q0275	COX3	6226542	NA	S000007283	ORF|Verified	11	1.78	NA	NA	NA	NA	NA	NA
Q0297	Q0297	6226543	NA	S000007284	ORF|Dubious	23	7	NA	NA	NA	NA	NA	NA
YAL001C	TFC3	6319317	NA	S000000001	ORF|Verified	488	117.83	NA	NA	NA	NA	NA	NA
YAL002W	VPS8	6319316	NA	S000000002	ORF|Verified	312	86.52	NA	NA	NA	NA	NA	NA
YAL003W	EFB1	6319315	NA	S000000003	ORF|Verified	47	10.81	37	1	318239	38	1	288236
YAL004W	YAL004W	6319313	NA	S000002136	ORF|Dubious	39	10.68	NA	NA	NA	NA	NA	NA
YAL005C	SSA1	6319314	NA	S000000004	ORF|Verified	213	57.77	159	1	255901	121	1	171741
YAL007C	ERP2	6319312	NA	S000000005	ORF|Verified	51	10.41	NA	NA	NA	NA	NA	NA
YAL008W	FUN14	6319311	NA	S000000006	ORF|Verified	70	18.44	1	0.41	2067	NA	NA	NA
YAL009W	SPO7	6319310	NA	S000000007	ORF|Verified	107	24.71	NA	NA	NA	NA	NA	NA
