#ORF	Gene	Heat 0' (A)	Heat 0' (A) Call	Heat 0' (B)	Heat 0' (B) Call	Heat 15'	Heat 15' Call	Heat 30'	Heat 30' Call	Heat 45'	Heat 45' Call	Heat 60'	Heat 60' Call	Heat 120'	Heat 120' Call	Acid 0' (A)	Acid 0' (A) Call	Acid 0' (B)	Acid 0' (B) Call	Acid 10'	Acid 10' Call	Acid 20'	Acid 20' Call	Acid 40'	Acid 40' Call	Acid 60'	Acid 60' Call	Acid 80'	Acid 80' Call	Acid 100'	Acid 100' Call	Alkali 0' (A)	Alkali 0' (A) Call	Alkali 0' (B)	Alkali 0' (B) Call	Alkali 10'	Alkali 10' Call	Alkali 20'	Alkali 20' Call	Alkali 40'	Alkali 40' Call	Alkali 60'	Alkali 60' Call	Alkali 80'	Alkali 80' Call	Alkali 100'	Alkali 100' Call	msn2/4 acid 0'	msn2/4 acid 0' Call	msn2/4 acid 10'	msn2/4 acid 10' Call	msn2/4 acid 20'	msn2/4 acid 20' Call	Peroxide 0' (A)	Peroxide 0' (A) Call	Peroxide 0' (B)	Peroxide 0' (B) Call	Peroxide 10'	Peroxide 10' Call	Peroxide 20'	Peroxide 20' Call	Peroxide 40'	Peroxide 40' Call	Peroxide 60'	Peroxide 60' Call	Peroxide 120'	Peroxide 120' Call	NaCl 0'	NaCl 0' Call	NaCl 15'	NaCl 15' Call	NaCl 30'	NaCl 30' Call	NaCl 45'	NaCl 45' Call	NaCl 60'	NaCl 60' Call	NaCl 120'	NaCl 120' Call	Sorbitol 0'	Sorbitol 0' Call	Sorbitol 15'	Sorbitol 15' Call	Sorbitol 30'	Sorbitol 30' Call	Sorbitol 45'	Sorbitol 45' Call	Sorbitol 90'	Sorbitol 90' Call	Sorbitol 120'	Sorbitol 120' Call
orf	gene	heat.0min.a	heat.0min.a.call	heat.0min.b	heat.0min.b.call	heat.15min	heat.15min.call	heat.30min	heat.30min.call	heat.45min	heat.45min.call	heat.60min	heat.60min.call	heat.120min	heat.120min.call	acid.0min.a	acid.0min.a.call	acid.0min.b	acid.0min.b.call	acid.10min	acid.10min.call	acid.20min	acid.20min.call	acid.40min	acid.40min.call	acid.60min	acid.60min.call	acid.80min	acid.80min.call	acid.100min	acid.100min.call	alkali.0min.a	alkali.0min.a.call	alkali.0min.b	alkali.0min.b.call	alkali.10min	alkali.10min.call	alkali.20min	alkali.20min.call	alkali.40min	alkali.40min.call	alkali.60min	alkali.60min.call	alkali.80min	alkali.80min.call	alkali.100min	alkali.100min.call	msn2/4.acid.0min	msn2/4.acid.0min.call	msn2/4.acid.10min	msn2/4.acid.10min.call	msn2/4.acid.20min	msn2/4.acid.20min.call	peroxide.0min.a	peroxide.0min.a.call	peroxide.0min.b	peroxide.0min.b.call	peroxide.10min	peroxide.10min.call	peroxide.20min	peroxide.20min.call	peroxide.40min	peroxide.40min.call	peroxide.60min	peroxide.60min.call	peroxide.120min	peroxide.120min.call	nacl.0min	nacl.0min.call	nacl.15min	nacl.15min.call	nacl.30min	nacl.30min.call	nacl.45min	nacl.45min.call	nacl.60min	nacl.60min.call	nacl.120min	nacl.120min.call	sorbitol.0min	sorbitol.0min.call	sorbitol.15min	sorbitol.15min.call	sorbitol.30min	sorbitol.30min.call	sorbitol.45min	sorbitol.45min.call	sorbitol.90min	sorbitol.90min.call	sorbitol.120min	sorbitol.120min.call
YAL001C	TFC3	126	P	114.6	P	127.9	P	208.2	P	178.4	P	85.6	P	59.3	A	211.5	P	152.8	P	437.4	P	343.3	P	135.7	P	151.3	P	164.6	P	233.6	P	211.5	P	152.8	P	258.3	P	145.8	A	139.3	P	333.1	P	122.4	P	220.4	A	202.8	P	118.5	P	250.2	P	180.8	P	116.7	P	145.1	P	71.2	P	136	P	55.4	P	78.6	A	194	P	250.2	P	319.9	P	191.2	P	204.8	P	281.4	A	194	P	175.4	P	293.3	P	280.9	P	267.7	A	256	P
YAL002W	VPS8	54	P	42	P	70.2	P	112.9	P	151.7	P	106.8	P	117.8	P	85	P	101.9	P	141.1	P	128.7	P	53.8	P	154.1	P	85.3	P	93	P	85	P	101.9	P	93	A	70.2	P	20	A	97	P	78.9	P	58	A	138.1	P	72	P	77	P	25.8	A	50.8	A	20	A	20	A	53.2	P	28.5	A	26.2	A	353	P	240.3	P	561.5	P	714.8	P	414.1	P	110.1	A	353	P	202.2	A	603.3	P	381.3	P	442.3	P	244.6	P
YAL003W	EFB1	9651	P	7004	P	7530.4	P	7286.2	P	7129	P	7351.7	P	6468.4	P	11827	P	11696.9	P	11810.8	P	7883.8	P	7846.9	P	9723.5	P	8931.2	P	9055.2	P	11827	P	11696.9	P	6035.4	P	5641.2	P	6280.6	P	6700.1	P	6491.1	P	7709.8	P	12679.1	P	7317.9	P	8428.8	P	8462.4	P	10642.8	P	5229.2	P	3682.2	P	2481	P	1142	P	5539.8	P	15465	P	11569.5	P	9861.5	P	6583.2	P	8363.7	P	6866	P	15465	P	10136	P	6710.1	P	8835.1	P	14018.7	P	14375.8	P
YAL004W	YAL004W	30	P	33.6	P	101.3	P	158.6	P	54.7	P	35.9	P	120.3	P	37.1	P	34.9	P	81.1	P	76.9	P	71.7	P	48.5	A	49.6	P	43.4	A	37.1	P	34.9	P	49.6	P	56.7	P	66.4	P	74.4	P	23.7	A	69.6	P	56.1	A	20	A	20	A	121.7	P	40.6	P	20	A	32.6	P	20	A	33.2	P	20	A	222	P	160.9	P	653.5	P	296.6	P	329.1	A	212.9	A	222	P	143.1	A	160.5	A	293.1	A	250.2	A	136.8	A
YAL005C	SSA1	1816	P	1394.8	P	4185.5	P	6146.8	P	4823.2	P	4233.3	P	5565.6	P	2778	P	3488.7	P	6191.1	P	6356.7	P	5158.7	P	5102.9	P	2889.2	P	3063.9	P	2778	P	3488.7	P	10448.8	P	8291.7	P	7037.1	P	5093	P	2830.1	P	3231	P	3478.3	P	1235.9	P	1024.7	P	3205.7	P	3580.3	P	4629.1	P	4450.4	P	3932.9	P	2739.5	P	3434.4	P	29035	P	22053.7	P	20417.3	P	32081.5	P	41586.3	P	27077.4	P	29035	P	25524.7	P	34268.1	P	32182.6	P	22050.5	P	20653.5	P
YAL007C	ER12	406	P	318.5	P	585.6	P	870.9	P	1098.9	P	593.8	P	686.7	P	549.5	P	598	P	560.9	P	631.8	P	553	P	827.6	P	442.2	P	549.9	P	549.5	P	598	P	776.9	P	510.1	P	558.4	P	459.2	P	584.2	P	777.1	P	543.8	P	274.1	P	298.3	P	250.8	P	473.8	P	309.9	P	209.1	P	223.3	P	106	P	207.2	P	647	P	320.4	P	622.9	P	286.8	P	486.9	P	416	P	647	P	248.4	P	271.2	P	266	P	483	P	682.1	P
YAL008W	YAL008W	82	P	94.7	P	457.7	P	436.9	P	470	P	304.7	P	472.9	P	237.7	P	211.8	P	596.2	P	654	P	384	P	402.4	P	329.2	P	388.7	P	237.7	P	211.8	P	1055.8	P	448.1	P	421.2	P	362.2	P	262.5	P	313.2	P	185.6	P	86	P	134.7	P	143.9	P	231.8	P	317.3	P	355.9	P	348.9	P	211.9	P	252.5	P	239	P	146.7	P	743.3	P	123.8	A	332.2	P	93	A	239	P	68.3	A	127.3	A	150.6	A	119.9	A	189.7	P
YAL009W	SPO7	112	P	77.2	P	215.9	P	138.2	P	221.3	P	221.9	P	192.6	P	174.4	P	139.4	P	172.9	P	87.3	P	194.6	P	251.1	P	113	P	134.4	P	174.4	P	139.4	P	128.1	P	67.5	A	66.4	P	132.6	P	20	A	72.9	P	168.3	P	146.4	P	153.9	P	77.5	A	104.9	P	83.6	P	87.5	P	105	P	64.8	P	135.8	P	1127	P	811	P	1399.1	P	1068.9	P	1204.3	P	753.6	P	1127	P	913.1	P	1053.5	P	1000.1	P	1035.8	P	999.3	P
YAL010C	MDM10	77	P	63.4	P	120.5	P	82.7	P	124.3	P	129.8	P	176.3	P	133	A	67	A	84.7	A	146.5	A	99.8	P	117	P	101.1	A	107.5	P	133	A	67	A	117.8	A	126.9	P	79.5	P	142.3	P	20	A	66.3	A	64.7	A	69.7	P	125.1	P	59	A	86.3	P	81.2	P	69.7	P	99.1	P	102.8	P	111.9	P	102	A	20	A	237	P	136.9	P	224.5	P	20	A	102	A	110.8	P	86.7	A	69.2	A	152.5	P	93.3	A
YAL011W	YAL011W	224	P	126	P	227	P	308.5	P	177.7	P	223.7	P	199.1	P	198.4	A	109.9	P	246.9	P	232.3	P	304.7	P	245.4	P	196.3	P	239.8	P	198.4	A	109.9	P	303.7	P	175.4	P	169.8	P	239.3	P	122.4	P	205.5	P	228.7	P	130.1	P	206.9	P	221.3	P	152.3	P	36.9	A	54.9	P	96.1	P	63.3	P	176.2	P	98	P	32.6	A	90.5	P	20	A	95.6	A	29.4	A	98	P	59.1	A	20	A	20	A	34.9	A	91.2	A
