# From http://www.ebi.ac.uk/huber-srv/actinomycinD/ , Supplementary Table 1, Antisense artifacts in transcriptome microarray experiments are resolved by actinomycin D, Fabiana Perocchi+, Zhenyu Xu+, Sandra Clauder-Münster and Lars M. Steinmetz*. Nucleic Acids Research, 26 September 2007
orf	annotation	chr	start	end	strand	actd.level	no.actd.level	sense.fold.diff	sense.overlap	asense.actd.level	asense.no.actd.level	asense.fold.diff	asense.overlap
Q0045	Verified	17	13818	26701	+	-0.48731065	-0.741751456	0.254440806	4	-1.874898019	-2.085327601	0.210429582	4
Q0050	Verified	17	13818	16322	+	0.043851299	-0.127526545	0.171377844	1	-1.841349979	-2.04873533	0.207385351	4
Q0055	Verified	17	13818	18830	+	-0.227162509	-0.511352527	0.284190018	4	-1.873510589	-2.093641718	0.220131129	4
Q0060	Verified	17	13818	19996	+	-0.350590324	-0.632632249	0.282041924	4	-1.876072613	-2.09692834	0.220855727	4
Q0065	Verified	17	13818	21935	+	-0.3459255	-0.620330849	0.274405349	4	-1.87848837	-2.080686966	0.202198596	4
Q0070	Verified	17	13818	23167	+	-0.400643247	-0.648693654	0.248050407	4	-1.874860417	-2.078047128	0.20318671	4
Q0075	Uncharacterized	17	24156	25255	+	-0.952282411	-1.340760346	0.388477936	4	-1.821973527	-1.998513348	0.176539821	4
Q0080	Verified	17	27666	27812	+	-0.624394372	-0.680803897	0.056409525	4	-1.903622071	-1.489433633	-0.414188438	4
Q0085	Verified	17	28487	29266	+	0.053660965	0.181353644	-0.127692679	3	-1.869705793	-1.994494926	0.124789133	4
Q0105	Verified	17	36540	43647	+	-1.301068529	-1.560245578	0.25917705	4	-1.849015731	-2.106027744	0.257012013	4
Q0110	Verified	17	36540	38579	+	-0.860091545	-1.148323103	0.288231558	4	-1.844315882	-2.115550995	0.271235113	4
Q0115	Verified	17	36540	40265	+	-1.031722229	-1.328712805	0.296990577	4	-1.824683575	-2.090827073	0.266143497	4
Q0120	Verified	17	36540	42251	+	-1.22006234	-1.512663256	0.292600916	4	-1.834674498	-2.085672367	0.250997869	4
Q0130	Verified	17	46723	46953	+	0.827360333	0.540700701	0.286659633	3	-1.942350247	-1.97724283	0.034892584	4
Q0140	Verified	17	48901	50097	+	-1.51345877	-1.876277778	0.362819009	4	-1.702755678	-2.033672569	0.330916892	4
Q0160	Verified	17	61022	61729	+	-0.663682143	-1.102254478	0.438572335	4	-1.862242822	-2.114661872	0.25241905	4
Q0250	Verified	17	73758	74513	+	-0.266046769	-0.848587839	0.58254107	4	-1.858437029	-2.013962612	0.155525583	4
Q0255	Uncharacterized	17	74495	75984	+	-1.795706331	-2.061184712	0.26547838	4	-1.743623227	-2.03003674	0.286413514	4
Q0275	Verified	17	79213	80022	+	-0.90092699	-1.163959805	0.263032816	4	-1.887309797	-2.0816046	0.194294804	4
YAL001C	Verified	1	147596	151168	-	1.718939534	1.514470281	0.204469253	3	-1.590071308	-1.35517009	-0.234901219	4
YAL002W	Verified	1	143709	147533	+	1.920134194	1.865264828	0.054869366	3	-1.574538391	-1.339081697	-0.235456694	4
YAL003W	Verified	1	142176	143162	+	5.407981271	5.362002828	0.045978443	3	-0.65132041	1.041246163	-1.692566573	2
YAL005C	Verified	1	139505	141433	-	4.859694495	5.064208448	-0.204513953	3	-1.391366091	0.71856357	-2.109929661	2
YAL007C	Verified	1	137700	138347	-	4.247345768	4.336471627	-0.089125859	3	-1.147320039	0.662539685	-1.809859725	2
